name	type	type2	code	alternateGfx	namestr	version	compactsave	rarity	spawnable	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam		rangeadder	speed	minac	maxac	block	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	levelreq	cost	gamble cost	magic lvl	auto prefix	OpenBetaGfx	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	special	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem	
Throwing Spear	jave		tsp	pil	tsp	0		4	1	5	15					12	30	15	2	-10	0	0	0	130	150		65	60		29	0	12	55176		314	jav	tsp	9ts	7ts	1ht	1ht	5	1ht	1	4	1	96	200	160	flptsp	invtsp			1	4	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			371	7	2	0	3					5					5					5					20					20					20					20					20					20					20					20					20	1	1	1	2	20	1	1			20					20			1	1	20	1	1	1	1	20			1	2	0	xxx	xxx	1	0	280
Spear	spea		spr	spr	spr	0		4	1				1	3	15			15	3	-10	0	0	0	170	150		20	60		5	0	260	19500			spr	spr	9sr	7sr	2ht	2ht	5	2ht	2	4					flpspr	invspr			1	6	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	5	1	1	1	1	5					5					20					20					20					20					20					20	1	1		1	20					20					20					20					20					20					20					20			5	8	0	spt	pik	1	0	320
Trident	spea		tri	tri	tri	0		4	1				1	9	15			15	3		0	0	0	190	110	38	24	60		9	0	512	39441			spr	tri	9tr	7tr	2ht	2ht	5	2ht	2	4					flptri	invtri	invtriu	invtriu	1	6	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					5	1	1	1	1	5					5	1	1			20					20					20					20					20					20	1	1	1	1	20					20					20					20					20					20					20					20			5	8	0	spt	pik	1	0	300
Brandistock	spea		brn	brn	brn	0		4	1				1	7	17			15	4	-20	0	0	0	160	140	40	50	60		16	0	802	87276			spr	brn	9br	7br	2ht	2ht	5	2ht	2	4					flpbrn	invbrn			1	6	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					5					5					5	1	1	1	1	20					20					20					20					20					20					20	1	1		1	20					20					20					20					20					20					20			5	8	0	xxx	pik	1	0	300
Spetum	spea		spt	tri	spt	0		4	1				1	15	23			15	4		0	0	0	190	110	54	35	60		20	0	1098	137820			spr	spt	9st	7st	2ht	2ht	5	2ht	2	4					flpspt	invspt			1	6	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					5					5					5	1	1	1	1	20					20					20					20					20					20					20	1	1	1	1	20					20		1	1	2	20					20					20					20					20			5	8	0	xxx	xxx	1	0	300
Pike	spea		pik	pik	pik	0		4	1				1	14	63			15	4	20	0	0	0	175	125	60	45	60		24	0	1296	189156			spr	pik	9p9	7p7	2ht	2ht	5	2ht	2	4					flppik	invpik			1	6	0	3 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					5					5					5			1	1	20					20					20					20					20					20					20		1			20					20	1	1	1	2	20					20	1	1	1	2	20					20					20			5	8	0	xxx	xxx	1	0	300
Bardiche	pole		bar	hal	bar	0		4	1				1	1	27				2	10	0	0	0	220	80	40		60		5	0	260	19530			hal	bar	9b7	7o7	stf	stf	5	2hsl	2	4					flpbar	invbar			1	6	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	5	1	1	1	1	5					5					20					20					20					20					20					20	1	1		1	20					20					20					20					20					20					20					20			2	2	0	hal	wsc	1	0	300
Voulge	pole		vou	hal	vou	0		4	1				1	6	21				2		0	0	0	220	80	50		60		11	0	466	44163			hal	vou	9vo	7vo	stf	stf	5	2hsl	2	4					flpvou	invvou			1	6	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					5					5					5		1		1	20					20					20					20					20					20					20					20					20					20					20					20					20					20			2	2	0	hal	wsc	1	0	300
Scythe	pole		scy	scy	scy	0		4	1				1	8	20				1	-10	0	0	0	175	125	41	41	60		15	0	614	68160			hal	scy	9s8	7s8	stf	stf	5	2hsl	2	4					flpscy	invscy	invscyu	invscyu	1	6	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					5					5					5		1		1	20					20				1	20			1	1	20					20				1	20					20	1	1	1	1	20					20					20					20					20					20					20			2	2	0	hal	wsc	1	0	300
Poleaxe	pole		pax	hal	pax	0		4	1				1	18	39				3	10	0	0	0	220	80	62		60		21	0	1114	146163			hal	pax	9pa	7pa	stf	stf	5	2hsl	2	4					flppax	invpax			1	6	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20	1	1	1	1	20					20					20					20					20					20		1	1	1	20					20					20					20					20			2	2	0	xxx	xxx	1	0	300
Halberd	pole		hal	pax	hal	0		4	1				1	12	45				4		0	0	0	200	100	75	47	60		29	0	1670	286422			hal	hal	9h9	7h7	stf	stf	5	2hsl	2	4					flphal	invhal			1	6	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20	1	1	1	1	20					20					20					20					20					20	1	1	1	1	20					20	1	1	1	1	20					20					20			2	2	0	xxx	xxx	1	0	300
War Scythe	pole		wsc	scy	wsc	0		3	1				1	15	36				4	-10	0	0	0	175	125	80	80	60		34	0	2032	404076			hal	wsc	9wc	7wc	stf	stf	5	2hsl	2	4					flpwsc	invwsc			1	6	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20			1	2	20					20			1	1	20					20					20			2	2	0	xxx	xxx	1	0	300
Short Staff	staf		sst	bst	sst	0		2	1				1	1	5				1	-10	5	5	5	225	75			60		1	0	164	9504	1	403	bst	sst	8ss	6ss	stf	stf	5	club	1	3					flpsst	invsst			1	3	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					5					5	5	9	5	9	5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	8	0	cst	bst	1	0	300
Long Staff	staf		lst	sst	lst	0		2	1				1	2	8				1		0	0	0	225	75			60		8	0	370	30612	1	403	bst	lst	8ls	6ls	stf	stf	5	staf	1	4					flplst	invlst			1	4	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					5					5	2	3	1	2	5					20					20	1	2		2	20					20					20	1	1		1	20					20					20					20					20					20					20					20					20			5	8	0	cst	wst	1	0	300
Gnarled Staff	staf		cst	cst	cst	0		2	1				1	4	12				1	10	0	0	0	225	75			60		12	0	564	53076	1	403	bst	cst	8cs	6cs	stf	stf	5	staf	1	4					flpcst	invcst	invcstu	invcstu	1	4	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					5					5					5					20					20	3	5	5	9	20					20					20	2	3	2	5	20					20					20					20					20					20					20					20					20			5	8	0	xxx	wst	1	0	300
Battle Staff	staf		bst	sst	bst	0		2	1				1	6	13				1		0	0	0	225	75			60		17	0	838	95373	1	403	bst	bst	8bs	6bs	stf	stf	5	staf	1	4					flpbst	invbst			1	4	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					5					5					5					20					20	1	3	1	3	20					20					20	2	3	2	5	20					20					20					20					20	2	3	1	3	20					20					20	2	3	1	4	20			5	8	0	xxx	xxx	1	0	300
War Staff	staf		wst	lst	wst	0		2	1				1	12	28				1	20	0	0	0	225	75			60		24	0	1274	186420	1	403	bst	wst	8ws	6ws	stf	stf	5	staf	2	4					flpwst	invwst			1	6	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					5					5					5					20					20					20					20					20	1	1		1	20					20					20					20					20	1	2	1	2	20					20					20	1	3	1	4	20			5	8	0	xxx	xxx	1	0	300
Short Bow	bow		sbw	sbw	sbw	0		2	1				1	1	4			13		5	0	0	0	0	150		15	60	1	1	0	112	9300		306	sbw	sbw	8sb	6sb	bow	bow	6	bow	2	3					flpsbw	invsbw			1	6	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1	1	1	1	2	5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	8	0	hbw	cbw	1	0	150
Hunter's Bow	bow		hbw	sbw	hbw	0		2	1				1	2	6			13		-10	0	0	0	0	150		28	60	1	5	0	294	20250		306	sbw	hbw	8hb	6hb	bow	bow	6	bow	2	3					flphbw	invhbw			1	6	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1	1	1	1	1	5	1	1	1	2	5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	8	0	lbw	sbb	1	0	150
Long Bow	bow		lbw	lbw	lbw	0		2	1				1	3	10			13			0	0	0	0	150	22	19	60	1	8	0	388	31260		306	sbw	lbw	8lb	6lb	bow	bow	6	bow	2	4					flplbw	invlbw			1	6	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					5	1	1	1	2	5					5					20			1	2	20					20					20					20					20					20					20					20					20					20					20					20					20			5	8	0	cbw	lbb	1	0	150
Composite Bow	bow		cbw	lbw	cbw	0		2	1				1	4	8			13		-10	0	0	0	0	150	25	35	60	1	12	0	538	51672		306	sbw	cbw	8cb	6cb	bow	bow	6	bow	2	3					flpcbw	invcbw	invcbwu	invcbwu	1	6	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					5					5					5			1	2	20			1	2	20					20					20					20					20					20					20					20					20					20					20					20					20			5	8	0	sbb	swb	1	0	150
Short Battle Bow	bow		sbb	sbb	sbb	0		2	1				1	5	11			13			0	0	0	0	150	30	40	60	1	18	0	734	90930		306	sbw	sbb	8s8	6s7	bow	bow	6	bow	2	3					flpsbb	invsbb	invsbbu	invsbbu	1	6	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					5					5					5					20					20					20					20					20					20					20	1	1	1	2	20					20					20					20					20					20					20			5	8	0	lbb	lwb	1	0	150
Long Battle Bow	bow		lbb	lbb	lbb	0		2	1				1	3	18			13		10	0	0	0	0	150	40	50	60	1	23	0	1026	148605		306	sbw	lbb	8l8	6l7	bow	bow	6	bow	2	4					flplbb	invlbb			1	6	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					5					5					5					20					20					20					20					20					20					20	1	1	1	2	20					20	1	1	1	2	20					20					20					20					20			5	8	0	swb	lwb	1	0	150
Short War Bow	bow		swb	sbb	swb	0		2	1				1	6	14			13			0	0	0	0	150	35	55	60	1	27	0	1558	250500		306	sbw	swb	8sw	6sw	bow	bow	6	bow	2	3					flpswb	invswb	invswbu	invswbu	1	6	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					5					5					5					20					20					20					20					20					20					20					20					20	1	1	1	2	20					20					20			1	2	20					20			5	8	0	lwb	xxx	1	0	150
Long War Bow	bow		lwb	lbb	lwb	0		2	1				1	3	23			13		10	0	0	0	0	150	50	65	60	1	31	0	2130	386475		306	sbw	lwb	8lw	6lw	bow	bow	6	bow	2	4					flplwb	invlwb			1	6	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20			1	2	20					20			5	8	0	xxx	xxx	1	0	150
Light Crossbow	xbow		lxb	lxb	lxb	0		2	1				1	6	9					-10	0	0	0	0	150	21	27	60	1	6	0	586	30954		306	lxb	lxb	8lx	6lx	xbw	xbw	5	xbow	2	3					flplxb	invlxb	invlxbu	invlxbu	1	6	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1	1	1	1	1	5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	8	0	mxb	rxb	1	0	400
Crossbow	xbow		mxb	lxb	mxb	0		2	1				1	9	16						0	0	0	0	150	40	33	60	1	15	0	1474	135525		306	lxb	mxb	8mx	6mx	xbw	xbw	5	xbow	2	3					flpmxb	invmxb	invmxbu	invmxbu	1	6	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					5					5					5	1	1	1	2	20	1	1	1	2	20					20					20					20					20					20					20					20					20					20					20					20					20			5	8	0	hxb	hxb	1	0	400
Heavy Crossbow	xbow		hxb	hxb	hxb	0		2	1				1	14	26					10	0	0	0	0	150	60	40	60	1	24	0	2402	338412		306	lxb	hxb	8hx	6hx	xbw	xbw	5	xbow	2	4					flphxb	invhxb	invhxbu	invhxbu	1	6	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					5					5					5					20					20					20					20					20					20					20					20					20					20			1	2	20					20				1	20					20			5	8	0	xxx	xxx	1	0	400
Repeating Crossbow	xbow		rxb	hxb	rxb	0		2	1				1	6	12					-40	0	0	0	0	150	40	50	60	1	33	0	1688	328161		306	lxb	rxb	8rx	6rx	xbw	xbw	5	xbow	2	3					flprxb	invrxb	invrxbu	invrxbu	1	6	0	fires 5 shots before reload	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20				2	20					20			5	8	0	xxx	xxx	1	0	400
Rancid Gas Potion	tpot		gps	gpl	gps	0			1	0	1										0	0	0					60	1	32	24	14	0			gpl	gps			1ht	1ht	5	hth	1	1	1	500	500	500	flpgpl	invgpl			0	0	0		0	item_potion	14	item_potion	0	0	5	0	1	0			49	7	3	0	0					5	1	1	1	1	5					5					20					20					20					20	1	1	1	1	20					20	1	1	1	1	20					20					20					20	1	1	1	1	20					20	1	1	1	1	20					20			0	0	0	xxx	xxx	0	1	
Oil Potion	tpot		ops	opl	ops	0			1	0	1										0	0	0					60	1	28	20	12	0			opl	ops			1ht	1ht	5	hth	1	1	1	500	500	500	flpopl	invopl			0	0	0		0	item_potion	14	item_potion	0	0	5	0	1	0			46	7	3	0	0					5	1	1	1	1	5					5					20					20					20					20	1	1	1	1	20					20	1	1	1	1	20					20					20					20	1	1	1	1	20					20	1	1	1	1	20					20			0	0	0	xxx	xxx	0	1	
Choking Gas Potion	tpot		gpm	gps	gpm	0			1	0	1										0	0	0					60	1	20	16	12	0			gps	gpm			1ht	1ht	5	hth	1	1	1	500	500	500	flpgps	invgpm			0	0	0		0	item_potion	14	item_potion	0	0	5	0	1	0			48	7	3	0	0					5	1	1	1	1	5					5					20					20					20					20	1	1	1	1	20					20	1	1	1	1	20					20					20					20	1	1	1	1	20					20	1	1	1	1	20					20			0	0	0	xxx	xxx	0	1	
Exploding Potion	tpot		opm	opl	opm	0			1	0	1										0	0	0					60	1	16	12	10	0			opl	opm			1ht	1ht	5	hth	1	1	1	500	500	500	flpops	invopm			0	0	0		0	item_potion	14	item_potion	0	0	5	0	1	0			45	7	3	0	0					5	1	1	1	1	5					5					20					20					20					20	1	1	1	1	20					20	1	1	1	1	20					20					20					20	1	1	1	1	20					20	1	1	1	1	20					20			0	0	0	xxx	xxx	0	1	
Strangling Gas Potion	tpot		gpl	gps	gpl	0			1	0	1										0	0	0					60	1	8	6	10	0			gps	gpl			1ht	1ht	5	hth	1	1	1	500	500	500	flpgps	invgps			0	0	0		0	item_potion	14	item_potion	0	0	5	0	1	0			47	7	3	0	0					5	1	1	1	1	5					5					20					20					20					20	1	1	1	1	20					20	1	1	1	1	20					20					20					20	1	1	1	1	20					20	1	1	1	1	20					20			0	0	0	xxx	xxx	0	1	
Fulminating Potion	tpot		opl	ops	opl	0			1	0	1										0	0	0					60	1	4	0	8	0			ops	opl			1ht	1ht	5	hth	1	1	1	500	500	500	flpops	invops			0	0	0		0	item_potion	14	item_potion	0	0	5	0	1	0			44	7	3	0	0					5	1	1	1	1	5					5					20					20					20					20	1	1	1	1	20					20	1	1	1	1	20					20					20					20	1	1	1	1	20					20	1	1	1	1	20					20			0	0	0	xxx	xxx	0	1	
decoy dagger	knif		d33	dgr	d33	0				1	2									-20	0	0	0	100	200	15	20	60		0	0	494	0			dgr	d33			1ht	1ht	5	1ht	1	2					flpd33	invd33			1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	1	0	5	0	0	0	18	1	0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			1	2	0	xxx	xxx	0	0	300
Gidbinn	knif		g33	dgr	g33	0				3	7									-20	0	0	0	100	200	15	25	60		0	0	494	0			dgr	g33			1ht	1ht	5	1ht	1	2					flpg33	invg33			1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	1	0	5	0	0	0	18	1	0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			1	2	0	xxx	xxx	0	0	300
Wirt's Leg	club		leg	clb	leg	0				6	15									-60	0	0	0	500	500			60	1	0	0	30	0			clb	leg			1hs	1hs	5	1hsl	1	3					flpleg	invleg			1	3	0		0	item_staff	12	item_staff	0	0	5	0	0	0	1	1	0	7	0	0	1					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	8	0	xxx	xxx	1	0	1000
Horadric Malus	hamm		hdm	whm	hdm	0				6	15									20	0	0	0	240	60	15	15	60		0	0	458	0			whm	hdm			1hs	1hs	5	1hsl	1	2					flphmr	invhmr			1	2	0		0	item_sword	12	item_sword	1	0	5	0	0	0	4	1	0	7	0	0	0					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			2	2	0	xxx	xxx	0	0	300
Hellforge Hammer	hamm		hfh	whm	hfh	0				6	15										0	0	0	240	60			60		0	0	458	0			whm	hfh			1hs	1hs	5	1hsl	2	3					flphmr	invhfh			1	6	0		0	item_sword	12	item_sword	1	0	5	0	0	0	25	1	0	7	0	0	1					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			2	2	1	xxx	xxx	0	0	300
Horadric Staff	staf		hst	bst	hst	0							1	12	20				2		0	0	0	175	75	30		60		0	0	838	0			bst	hst			stf	stf	5	staf	1	4					flphst	invhst			1	4	0	magically charged	0	item_staff	12	item_staff	1	0	5	0	0	0	10	1	0	7	0	0	5					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	8	1	xxx	xxx	0	0	250
Staff of the Kings	staf		msf	bst	msf	0							1	10	15				2		0	0	0	175	75	25		60		0	0	838	0			bst	msf			stf	stf	5	staf	1	3					flpmsf	invmsf			1	3	0	magically charged	0	item_staff	12	item_staff	1	0	5	0	0	0	10	1	0	7	0	0	5					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	8	1	xxx	xxx	0	0	250
Hatchet	axe		9ha	hax	9ha	0		3	1	10	21										0	0	0	200	100	25	25	70		31	19	590	129330			hax	hax	9ha	7ha	1hs	1hs	5	1hsl	1	3					flphax	invhax	invhaxu	invhaxu	1	3	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			35	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	2	0	xxx	xxx	1	0	300
Cleaver	axe		9ax	axe	9ax	0		4	1	10	33								1	10	0	0	0	200	100	68		70		34	22	1006	212418			axe	axe	9ax	7ax	1hs	1hs	5	1hsl	2	3					flpaxe	invaxe	invaxeu	invaxeu	1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	2	0	xxx	xxx	1	0	300
Twin Axe	axe		92a	axe	92a	0		4	1	13	38								1	10	0	0	0	220	80	85		70		39	25	1784	407523			axe	2ax	92a	72a	1hs	1hs	5	1hsl	2	3					flp2ax	inv2ax			1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	2	0	xxx	xxx	1	0	300
Crowbill	axe		9mp	axe	9mp	0		4	1	14	34								1	-10	0	0	0	175	125	94	70	70		43	25	2642	660627			axe	mpi	9mp	7mp	1hs	1hs	5	1hsl	2	3					flpmpi	invmpi	invmpiu	invmpiu	1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			2	2	0	xxx	xxx	1	0	300
Naga	axe		9wa	hax	9wa	0		4	1	16	45								2		0	0	0	235	65	121		70		48	25	3698	1039836			hax	wax	9wa	7wa	1hs	1hs	5	1hsl	2	3					flpwax	invwax			1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			2	2	0	xxx	xxx	1	0	300
Military Axe	axe		9la	lax	9la	0		4	1				1	14	34				1	-10	0	0	0	235	65	73		70		34	22	920	197424			lax	lax	9la	7la	stf	stf	5	2hsl	2	3					flplax	invlax			1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			2	2	0	xxx	xxx	1	0	300
Bearded Axe 	axe		9ba	lax	9ba	0		4	1				1	21	49				1		0	0	0	235	65	92		70		38	25	1676	374352			lax	bax	9ba	7ba	stf	stf	5	2hsl	2	3					flpbrx	invbrx			1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			2	2	0	xxx	xxx	1	0	300
Tabar	axe		9bt	btx	9bt	0		4	1				1	24	77				1	10	0	0	0	235	65	101		70		42	25	2396	585336			btx	btx	9bt	7bt	stf	stf	5	2hsl	2	3					flpbtx	invbtx	inv9btu	inv9btu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	2	0	xxx	xxx	1	0	300
Gothic Axe	axe		9ga	btx	9ga	0		4	1				1	18	70				2	-10	0	0	0	190	110	115	79	70		46	25	3390	911124			btx	gax	9ga	7ga	stf	stf	5	2hsl	2	4					flpgax	invgax	invgaxu	invgaxu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			2	2	0	xxx	xxx	1	0	300
Ancient Axe	axe		9gi	gix	9gi	0		4	1				1	43	85				3	10	0	0	0	260	40	125		70		51	25	4118	1236090			gix	gix	9gi	7gi	stf	stf	5	2hsl	2	3					flpgix	invgix	inv9giu	inv9giu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			2	2	0	xxx	xxx	1	0	300
Burnt Wand	wand		9wn	wnd	9wn	0		1	1	8	18										0	0	0	230	70	25		70		31	19	654	139095	1	303	wnd	wnd	9wn	7wn	1hs	1hs	5	1hss	1	2					flpwnd	invwnd			1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	8	0	xxx	xxx	1	0	300
Petrified Wand	wand		9yw	ywn	9yw	0		1	1	8	24									10	0	0	0	230	70	25		70		38	25	1576	353490	1	303	ywn	ywn	9yw	7yw	1hs	1hs	5	1hss	1	2					flpywn	invywn			1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	8	0	xxx	xxx	1	0	300
Tomb Wand	wand		9bw	bwn	9bw	0		1	1	10	22									-20	0	0	0	230	70	25		70		43	25	2450	612252	1	303	bwn	bwn	9bw	7bw	1hs	1hs	5	1hss	1	2					flpbwn	invbwn	invbwnu	invbwnu	1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			1	2	0	xxx	xxx	1	0	300
Grave Wand	wand		9gw	bwn	9gw	0		1	1	13	29										0	0	0	230	70	25		70		49	25	3660	1050318	1	303	bwn	gwn	9gw	7gw	1hs	1hs	5	1hss	1	2					flpgwn	invgwn	inv9gwu	inv9gwu	1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			1	2	0	xxx	xxx	1	0	300
Cudgel	club		9cl	clb	9cl	0		1	1	6	21									-10	0	0	0	220	80	25		70		30	18	326	88140			clb	clb	9cl	7cl	1hs	1hs	5	club	1	3					flpclb	invclb	invclbu	invclbu	1	3	0		0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	1					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	2	0	xxx	xxx	1	0	300
Rune Scepter	scep		9sc	mac	9sc	0		2	1	13	24										0	0	0	220	80	58		70		31	19	914	179550		303	mac	scp	9sc	7sc	1hs	1hs	5	club	1	3					flpscp	invscp			1	3	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			2	2	0	xxx	xxx	1	0	300
Holy Water Sprinkler	scep		9qs	mac	9qs	0		4	1	14	36								1	10	0	0	0	220	80	76		70		40	25	2158	502740		303	mac	gsc	9qs	7qs	1hs	1hs	5	club	1	3					flpgsc	invgsc			1	3	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			2	2	0	xxx	xxx	1	0	300
