description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
6 perfect skulls + 1 rare item -> 1 low level rare item	0			100					7	any,rar	skz,qty=6						usetype,rar		40	40																																																																																				0
1 perfect skull + 1 rare item + soj -> 1 high level rare item	0			100					3	any,rar	skz	The Stone of Jordan					usetype,rar		66	66																																																																																				0
3 perfect skull + 1 rare item + stone of jordan-> add 1 socket to rare	0			100					5	any,rar,nos	skz,qty=3	The Stone of Jordan					useitem,sock=1																																																																																							0
3 health potions + 3 mana potions + 1 standard gem -> full rejuvenate potion	0			100					7	hpot,qty=3	mpot,qty=3	gem2					rvl																																																																																							0
3 health potions +  3 mana potions + 1 chipped gem -> rejuvenate potion	0			100					7	hpot,qty=3	mpot,qty=3	gem0					rvs																																																																																							0
1 perfect gem of each type + 1 amulet -> prismatic amulet	0			100					7	amu,mag	gpv	gpy	gpb	gpg	gpr	gpw	amu,mag,pre=331	50																																																																																						0
1 ring + 1 perfect ruby + 1 exploding potions -> garnet ring	0			100					3	rin,mag	gpr	opm					rin,mag,pre=372	30																																																																																						0
1 ring + 1 perfect sapphire + 1 thawing potions-> cobalt ring	0			100					3	rin,mag	gpb	wms					rin,mag,pre=353	30																																																																																						0
1 ring + 1 perfect topaz + 1 rejuvenation -> coral ring	0			100					3	rin,mag	gpy	rvs					rin,mag,pre=392	30																																																																																						0
1 ring + 1 emerald + 1 antidote potions -> jade ring	0			100					3	rin,mag	gpg	yps					rin,mag,pre=412	30																																																																																						0
1 axe + 1 dagger -> throwing axe	0			100					2	axe	knif						tax,nor																																																																																							0
1 spear + 1 arrow quiver -> javelins	0			100					2	spea	aqv						jav,nor																																																																																							0
3 rings -> amulet	0			100					3	rin,mag,qty=3							amu,mag		85																																																																																					0
3 amulets -> ring	0			100					3	amu,mag,qty=3							rin,mag		85																																																																																					0
3 standard gems + 1 socketed weapon ->  magic, socketable weapon	0			100					4	weap,sock	gem2,qty=3						usetype,mag	30		60	sock			1	2																																																																															0
3 flawless gems + 1 magic weapon -> socketed, magic weapon	0			100					4	weap,mag	gem3,qty=3						usetype,mag	30		60	sock			1	2																																																																															0
1 magic small shield + 1 spiked club + 2 skulls -> shield of spikes	0			100					4	shld,mag	gemz,qty=2	spc					usetype,mag,suf=162	30		60																																																																																				0
4 health potion + 1 ruby + 1 magic sword -> sword of the leech	0			100					6	swor,mag	gemr	hpot,qty=4					usetype,mag,suf=352	30		60																																																																																				0
1 diamond + 1 kriss + 1 staff + 1 belt -> savage polearm	0			100					4	kri	gemd	staf	belt				pole,mag,pre=191	50		60																																																																																				0
1 strangling gas potion + 1 health potion -> antidote potion	0			100					2	gpl	hpot						yps																																																																																							0
2 arrows -> bolts	0			100					2	aqv,qty=2							cqv																																																																																							0
2 bolts -> arrows	0			100					2	cqv,qty=2							aqv																																																																																							0
r07 + r10 + 1 perfect topaz + normal torso -> socketed torso	0			100					4	tors,nor,nos	r07	r10	gpy				useitem			100	sock			1	4																																																																															0
r08 + r11 + 1 perfect amethyst + normal weapon -> socketed weapon	0			100					4	weap,nor,nos	r08	r11	gpv				useitem			100	sock			1	6																																																																															0
r08 + r10 + 1 perfect sapphire + normal helm -> socketed helm	0			100					4	helm,nor,nos	r08	r10	gpb				useitem			100	sock			1	3																																																																															0
r07 + r11 + 1 perfect ruby + normal shield -> socketed shield	0			100					4	shld,nor,nos	r07	r11	gpr				useitem			100	sock			1	4																																																																															0
r07 + r10 + 1 perfect topaz + normal torso -> socketed torso	0			100					5	tors,nor,nos	r07	r10	gpy	hp1			useitem			100	sock			1	1																																																																															0
r07 + r10 + 1 perfect topaz + normal torso -> socketed torso	0			100					5	tors,nor,nos	r07	r10	gpy	hp2			useitem			100	sock			2	2																																																																															0
r07 + r10 + 1 perfect topaz + normal torso -> socketed torso	0			100					5	tors,nor,nos	r07	r10	gpy	hp3			useitem			100	sock			3	3																																																																															0
r07 + r10 + 1 perfect topaz + normal torso -> socketed torso	0			100					5	tors,nor,nos	r07	r10	gpy	hp4			useitem			100	sock			4	4																																																																															0
r07 + r10 + 1 perfect topaz + normal torso -> socketed torso	0			100					5	tors,nor,nos	r07	r10	gpy	hp5			useitem			100	sock			5	5																																																																															0
r07 + r10 + 1 perfect topaz + normal torso -> socketed torso	0			100					5	tors,nor,nos	r07	r10	gpy	gem4			useitem			100	sock			6	6																																																																															0
r08 + r11 + 1 perfect amethyst + normal weapon -> socketed weapon	0			100					5	weap,nor,nos	r08	r11	gpv	hp1			useitem			100	sock			1	1																																																																															0
r08 + r11 + 1 perfect amethyst + normal weapon -> socketed weapon	0			100					5	weap,nor,nos	r08	r11	gpv	hp2			useitem			100	sock			2	2																																																																															0
r08 + r11 + 1 perfect amethyst + normal weapon -> socketed weapon	0			100					5	weap,nor,nos	r08	r11	gpv	hp3			useitem			100	sock			3	3																																																																															0
r08 + r11 + 1 perfect amethyst + normal weapon -> socketed weapon	0			100					5	weap,nor,nos	r08	r11	gpv	hp4			useitem			100	sock			4	4																																																																															0
r08 + r11 + 1 perfect amethyst + normal weapon -> socketed weapon	0			100					5	weap,nor,nos	r08	r11	gpv	hp5			useitem			100	sock			5	5																																																																															0
r08 + r11 + 1 perfect amethyst + normal weapon -> socketed weapon	0			100					5	weap,nor,nos	r08	r11	gpv	gem4			useitem			100	sock			6	6																																																																															0
r08 + r10 + 1 perfect sapphire + normal helm -> socketed helm	0			100					5	helm,nor,nos	r08	r10	gpb	hp1			useitem			100	sock			1	1																																																																															0
r08 + r10 + 1 perfect sapphire + normal helm -> socketed helm	0			100					5	helm,nor,nos	r08	r10	gpb	hp2			useitem			100	sock			2	2																																																																															0
r08 + r10 + 1 perfect sapphire + normal helm -> socketed helm	0			100					5	helm,nor,nos	r08	r10	gpb	hp3			useitem			100	sock			3	3																																																																															0
r08 + r10 + 1 perfect sapphire + normal helm -> socketed helm	0			100					5	helm,nor,nos	r08	r10	gpb	hp4			useitem			100	sock			4	4																																																																															0
r07 + r11 + 1 perfect ruby + normal shield -> socketed shield	0			100					5	shld,nor,nos	r07	r11	gpr	hp1			useitem			100	sock			1	1																																																																															0
r07 + r11 + 1 perfect ruby + normal shield -> socketed shield	0			100					5	shld,nor,nos	r07	r11	gpr	hp2			useitem			100	sock			2	2																																																																															0
r07 + r11 + 1 perfect ruby + normal shield -> socketed shield	0			100					5	shld,nor,nos	r07	r11	gpr	hp3			useitem			100	sock			3	3																																																																															0
r07 + r11 + 1 perfect ruby + normal shield -> socketed shield	0			100					5	shld,nor,nos	r07	r11	gpr	hp4			useitem			100	sock			4	4																																																																															0
r07 + r11 + 1 perfect ruby + normal shield -> socketed shield	0			100					5	shld,nor,nos	r07	r11	gpr	hp5			useitem			100	sock			5	5																																																																															0
r07 + r11 + 1 perfect ruby + normal shield -> socketed shield	0			100					5	shld,nor,nos	r07	r11	gpr	gem4			useitem			100	sock			6	6																																																																															0
r07 + r10 + 1 perfect topaz + normal torso -> socketed torso	0			100					4	tors,hiq,nos	r07	r10	gpy				useitem			100	sock			1	4																																																																															0
r08 + r11 + 1 perfect amethyst + normal weapon -> socketed weapon	0			100					4	weap,hiq,nos	r08	r11	gpv				useitem			100	sock			1	6																																																																															0
r08 + r10 + 1 perfect sapphire + normal helm -> socketed helm	0			100					4	helm,hiq,nos	r08	r10	gpb				useitem			100	sock			1	3																																																																															0
r07 + r11 + 1 perfect ruby + normal shield -> socketed shield	0			100					4	shld,hiq,nos	r07	r11	gpr				useitem			100	sock			1	4																																																																															0
r07 + r10 + 1 perfect topaz + normal torso -> socketed torso	0			100					5	tors,hiq,nos	r07	r10	gpy	hp1			useitem			100	sock			1	1																																																																															0
r07 + r10 + 1 perfect topaz + normal torso -> socketed torso	0			100					5	tors,hiq,nos	r07	r10	gpy	hp2			useitem			100	sock			2	2																																																																															0
r07 + r10 + 1 perfect topaz + normal torso -> socketed torso	0			100					5	tors,hiq,nos	r07	r10	gpy	hp3			useitem			100	sock			3	3																																																																															0
r07 + r10 + 1 perfect topaz + normal torso -> socketed torso	0			100					5	tors,hiq,nos	r07	r10	gpy	hp4			useitem			100	sock			4	4																																																																															0
r07 + r10 + 1 perfect topaz + normal torso -> socketed torso	0			100					5	tors,hiq,nos	r07	r10	gpy	hp5			useitem			100	sock			5	5																																																																															0
r07 + r10 + 1 perfect topaz + normal torso -> socketed torso	0			100					5	tors,hiq,nos	r07	r10	gpy	gem4			useitem			100	sock			6	6																																																																															0
r08 + r11 + 1 perfect amethyst + normal weapon -> socketed weapon	0			100					5	weap,hiq,nos	r08	r11	gpv	hp1			useitem			100	sock			1	1																																																																															0
r08 + r11 + 1 perfect amethyst + normal weapon -> socketed weapon	0			100					5	weap,hiq,nos	r08	r11	gpv	hp2			useitem			100	sock			2	2																																																																															0
r08 + r11 + 1 perfect amethyst + normal weapon -> socketed weapon	0			100					5	weap,hiq,nos	r08	r11	gpv	hp3			useitem			100	sock			3	3																																																																															0
r08 + r11 + 1 perfect amethyst + normal weapon -> socketed weapon	0			100					5	weap,hiq,nos	r08	r11	gpv	hp4			useitem			100	sock			4	4																																																																															0
r08 + r11 + 1 perfect amethyst + normal weapon -> socketed weapon	0			100					5	weap,hiq,nos	r08	r11	gpv	hp5			useitem			100	sock			5	5																																																																															0
r08 + r11 + 1 perfect amethyst + normal weapon -> socketed weapon	0			100					5	weap,hiq,nos	r08	r11	gpv	gem4			useitem			100	sock			6	6																																																																															0
r08 + r10 + 1 perfect sapphire + normal helm -> socketed helm	0			100					5	helm,hiq,nos	r08	r10	gpb	hp1			useitem			100	sock			1	1																																																																															0
r08 + r10 + 1 perfect sapphire + normal helm -> socketed helm	0			100					5	helm,hiq,nos	r08	r10	gpb	hp2			useitem			100	sock			2	2																																																																															0
r08 + r10 + 1 perfect sapphire + normal helm -> socketed helm	0			100					5	helm,hiq,nos	r08	r10	gpb	hp3			useitem			100	sock			3	3																																																																															0
r08 + r10 + 1 perfect sapphire + normal helm -> socketed helm	0			100					5	helm,hiq,nos	r08	r10	gpb	hp4			useitem			100	sock			4	4																																																																															0
r07 + r11 + 1 perfect ruby + normal shield -> socketed shield	0			100					5	shld,hiq,nos	r07	r11	gpr	hp1			useitem			100	sock			1	1																																																																															0
r07 + r11 + 1 perfect ruby + normal shield -> socketed shield	0			100					5	shld,hiq,nos	r07	r11	gpr	hp2			useitem			100	sock			2	2																																																																															0
r07 + r11 + 1 perfect ruby + normal shield -> socketed shield	0			100					5	shld,hiq,nos	r07	r11	gpr	hp3			useitem			100	sock			3	3																																																																															0
r07 + r11 + 1 perfect ruby + normal shield -> socketed shield	0			100					5	shld,hiq,nos	r07	r11	gpr	hp4			useitem			100	sock			4	4																																																																															0
r07 + r11 + 1 perfect ruby + normal shield -> socketed shield	0			100					5	shld,hiq,nos	r07	r11	gpr	hp5			useitem			100	sock			5	5																																																																															0
r07 + r11 + 1 perfect ruby + normal shield -> socketed shield	0			100					5	shld,hiq,nos	r07	r11	gpr	gem4			useitem			100	sock			6	6																																																																															0
Socketing Rare	0			100					5	any,rar	skz,qty=4						useitem				sock			1	1																																																																															0
Socketing Sets	0			100					7	any,set	skz,qty=6						useitem				sock			1	1																																																																															0
Socketing Uni	0			100					7	any,uni	skz,qty=6						useitem				sock			1	1																																																																															0
Socketing Craft	0			100					5	any,crf	skz,qty=4						useitem				sock			1	1																																																																															0
Socketing Mag	0			100					5	any,mag	skz,qty=4						useitem				sock			1	1																																																																															0
r02 + 1 chipped gem + low weapon -> normal weapon	0			100					3	weap,low	r02	gem0					usetype,nor																																																																																							0
r01 + 1 chipped gem + low armor -> normal armor	0			100					3	armo,low	r01	gem0					usetype,nor																																																																																							0
r09 + weapon -> repair	0			100					2	weap,noe	r09						useitem,rep,rch,qty=500																																																																																							0
r08 + armor -> repair	0			100					2	armo,noe	r08						useitem,rep,rch,qty=500																																																																																							0
r09 + weapon + chipped gem -> repair + recharge	0			100					3	weap	r09	r15					useitem,rep,rch,qty=255																																																																																							0
r08 + armor + flawed gem -> repair + recharge	0			100					3	armo	r08	r15					useitem,rep,rch,qty=255																																																																																							0
Unmagic	0			100					3	any	r15						usetype,nor			100																																																																																				0
StatsElix	0			100					40	elx,qty=40							sp7																																																																																							0
SkillsElix	0			100					5	sp1,qty=5							sp2																																																																																							0
StrElix	0			100					1	r19							sp3																																																																																							0
DexElix	0			100					1	r18							sp4																																																																																							0
VitElix	0			100					1	r16							sp5																																																																																							0
EnrElix	0			100					1	r17							sp6																																																																																							0
StatsElix	0			100					17	r16	r17	r18	r19	gem4,qty=3	rndr,qty=10		sp1																																																																																							0
RandomRune	0			100	18	200	1		1	rand							r01																																																																																							0
RandomRune	0			100	18	200	2		1	rand							r02																																																																																							0
RandomRune	0			100	18	200	3		1	rand							r03																																																																																							0
RandomRune	0			100	18	200	4		1	rand							r04																																																																																							0
RandomRune	0			100	18	200	5		1	rand							r05																																																																																							0
RandomRune	0			100	18	200	6		1	rand							r06																																																																																							0
RandomRune	0			100	18	200	7		1	rand							r07																																																																																							0
RandomRune	0			100	18	200	8		1	rand							r08																																																																																							0
RandomRune	0			100	18	200	9		1	rand							r09																																																																																							0
RandomRune	0			100	18	200	10		1	rand							r10																																																																																							0
RandomRune	0			100	18	200	11		1	rand							r11																																																																																							0
RandomRune	0			100	18	200	12		1	rand							r12																																																																																							0
RandomRune	0			100	18	200	13		1	rand							r13																																																																																							0
RandomRune	0			100	18	200	14		1	rand							r14																																																																																							0
RandomRune	0			100	18	200	15		1	rand							r15																																																																																							0
RandomRune	0			100	18	200	16		1	rand							r16																																																																																							0
RandomRune	0			100	18	200	17		1	rand							r17																																																																																							0
RandomRune	0			100	18	200	18		1	rand							r18																																																																																							0
RandomRune	0			100	18	200	19		1	rand							r19																																																																																							0
RandomRune	0			100	18	200	20		1	rand							r20																																																																																							0
RandomRune	0			100	18	200	21		1	rand							r21																																																																																							0
RandomRune	0			100	18	200	22		1	rand							r22																																																																																							0
RandomRune	0			100	18	200	23		1	rand							r23																																																																																							0
RandomRune	0			100	18	200	24		1	rand							r24																																																																																							0
RandomRune	0			100	18	200	25		1	rand							r25																																																																																							0
RandomRune	0			100	18	200	26		1	rand							r26																																																																																							0
RandomRune	0			100	18	200	27		1	rand							r27																																																																																							0
RandomRune	0			100	18	200	28		1	rand							r28																																																																																							0
RandomRune	0			100	18	200	29		1	rand							r29																																																																																							0
RandomRune	0			100	18	200	30		1	rand							r30																																																																																							0
RandomRune	0			100	18	200	31		1	rand							r31																																																																																							0
RandomRune	0			100	18	200	32		1	rand							r32																																																																																							0
RandomRune	0			100	18	200	33		1	rand							r33																																																																																							0
3 rune 10 + 1 chipped topaz -> rune 11	0			100					4	r10,qty=3	gcy						r11																																																																																							0
3 rune 11 + 1 chipped amethyst -> rune 12	0			100					4	r11,qty=3	gcv						r12																																																																																							0
3 rune 12 + 1 chipped sapphire -> rune 13	0			100					4	r12,qty=3	gcb						r13																																																																																							0
3 rune 13 + 1 chipped ruby -> rune 14	0			100					4	r13,qty=3	gcr						r14																																																																																							0
3 rune 14 + 1 chipped emerald -> rune 15	0			100					4	r14,qty=3	gcg						r15																																																																																							0
3 rune 15 + 1 chipped diamond -> rune 16	0			100					4	r15,qty=3	gcw						r16																																																																																							0
3 rune 16 + 1 flawed topaz -> rune 17	0			100					4	r16,qty=3	gfy						r17																																																																																							0
3 rune 17 + 1 flawed amethyst -> rune 18	0			100					4	r17,qty=3	gfv						r18																																																																																							0
3 rune 18 + 1 flawed sapphire -> rune 19	0			100					4	r18,qty=3	gfb						r19																																																																																							0
3 rune 19 + 1 flawed ruby -> rune 20	0			100					4	r19,qty=3	gfr						r20																																																																																							0
3 rune 20 + 1 flawed emerald -> rune 21	0			100					4	r20,qty=3	gfg						r21																																																																																							0
2 rune 21 + 1 flawed diamond -> rune 22	0			100					3	r21,qty=2	gfw						r22																																																																																							0
2 rune 22 + 1 standard topaz -> rune 23	0			100					3	r22,qty=2	gsy						r23																																																																																							0
2 rune 23 + 1 standard amethyst -> rune 24	0			100					3	r23,qty=2	gsv						r24																																																																																							0
2 rune 24 + 1 standard sapphire -> rune 25	0			100					3	r24,qty=2	gsb						r25																																																																																							0
2 rune 25 + 1 standard ruby -> rune 26	0			100					3	r25,qty=2	gsr						r26																																																																																							0
2 rune 26 + 1 standard emerald -> rune 27	0			100					3	r26,qty=2	gsg						r27																																																																																							0
2 rune 27 + 1 standard diamond -> rune 28	0			100					3	r27,qty=2	gsw						r28																																																																																							0
2 rune 28 + 1 flawless topaz -> rune 29	0			100					3	r28,qty=2	gly						r29																																																																																							0
2 rune 29 + 1 flawless amethyst -> rune 30	0			100					3	r29,qty=2	gzv						r30																																																																																							0
2 rune 30 + 1 flawless sapphire -> rune 31	0			100					3	r30,qty=2	glb						r31																																																																																							0
2 rune 31 + 1 flawless ruby -> rune 32	0			100					3	r31,qty=2	glr						r32																																																																																							0
2 rune 32 + 1 flawless emerald -> rune 33	0			100					3	r32,qty=2	glg						r33																																																																																							0
3 rune 14 + 1 chipped emerald -> rune 15	0			100					3	r14,qty=3							r15																																																																																							0
3 rune 15 + 1 chipped diamond -> rune 16	0			100					3	r15,qty=3							r16																																																																																							0
3 rune 16 + 1 flawed topaz -> rune 17	0			100					3	r16,qty=3							r17																																																																																							0
3 rune 17 + 1 flawed amethyst -> rune 18	0			100					3	r17,qty=3							r18																																																																																							0
3 rune 18 + 1 flawed sapphire -> rune 19	0			100					3	r18,qty=3							r19																																																																																							0
3 rune 19 + 1 flawed ruby -> rune 20	0			100					3	r19,qty=3							r20																																																																																							0
3 rune 20 + 1 flawed emerald -> rune 21	0			100					3	r20,qty=3							r21																																																																																							0
3 rune 14 + 1 chipped emerald -> rune 15	0			100					3	r14,qty=2	gcg						r15																																																																																							0
3 rune 15 + 1 chipped diamond -> rune 16	0			100					3	r15,qty=2	gcw						r16																																																																																							0
3 rune 16 + 1 flawed topaz -> rune 17	0			100					3	r16,qty=2	gfy						r17																																																																																							0
3 rune 17 + 1 flawed amethyst -> rune 18	0			100					3	r17,qty=2	gfv						r18																																																																																							0
3 rune 18 + 1 flawed sapphire -> rune 19	0			100					3	r18,qty=2	gfb						r19																																																																																							0
3 rune 19 + 1 flawed ruby -> rune 20	0			100					3	r19,qty=2	gfr						r20																																																																																							0
3 rune 20 + 1 flawed emerald -> rune 21	0			100					3	r20,qty=2	gfg						r21																																																																																							0
Pandemonium key	0			100	28				0																																																																																															0
Pandemonium Finale key	0			100	28				0																																																																																															0
Debug	0			100					0																																																																																															0
Item test	0			100					1	any							Marasmus	1																																																																																						0
Unique maker - JUST 4 TEST	0			100					4	weap	hpot	wms	yps				usetype,uni			100																																																																																				0
Unique maker - JUST 4 TEST	0			100					4	armo	hpot	wms	yps				usetype,uni			100																																																																																				0
Unique maker - JUST 4 TEST	0			100					4	amul	hpot	wms	yps				usetype,uni			100																																																																																				0
Unique maker - JUST 4 TEST	0			100					4	ring	hpot	wms	yps				usetype,uni			100																																																																																				0
Jerhyn	0			100					0																																																																																															0
Mara	0			100					0																																																																																															0
Bul Kathos	0			100					0																																																																																															0
SOJ	0			100					0																																																																																															0
Merlin	0			100					0																																																																																															0
Tal Rasha	0			100					0																																																																																															0
Arachnid	0			100					0																																																																																															0
Sur	0			100					4	Griswold's Valor	Griswold's Heart	Griswolds's Redemption	Griswold's Honor				r29																																																																																							0
Lo	0			100					5	M'avina's True Sight	M'avina's Embrace	M'avina's Icy Clutch	M'avina's Tenet	M'avina's Caster			r28																																																																																							0
Ohm	0			100					4	Natalya's Totem	Natalya's Mark	Natalya's Shadow	Natalya's Soul				r27																																																																																							0
Ist	0			100					4	Aldur's Stony Gaze	Aldur's Deception	Aldur's Gauntlet	Aldur's Advance				r25																																																																																							0
Lo	0			100					6	Immortal King's Will	Immortal King's Soul Cage 	Immortal King's Detail	Immortal King's Forge	Immortal King's Pillar	Immortal King's Stone Crusher		r28																																																																																							0
Vex	0			100					5	Tal Rasha's Fire-Spun Cloth	Tal Rasha's Adjudication	Tal Rasha's Lidless Eye	Tal Rasha's Howling Wind	Tal Rasha's Horadric Crest			r26																																																																																							0
Ohm	0			100					5	Trang-Oul's Guise	Trang-Oul's Scales	Trang-Oul's Wing	Trang-Oul's Claws	Trang-Oul's Girth			r27																																																																																							0
Hellfire Torch	0			100					5	pk1	pk2	pk3	Annihilus	Abaddon's Eye			Hellfire Torch	199																																																																																						0
Harlequin Crest	0			100					2	r28	aqv						Harlequin Crest1	100																																																																																						0
Tyrael's Might	0			100					2	r32	aqv						Tyrael's Might1	100			ethereal			1	1																																																																															0
Mang Song's Lesson	0			100					2	r31	aqv						Mang Song's Lesson	100																																																																																						0
Halaberd's Reign	0			100					2	r25	aqv						Halaberd's Reign	100																																																																																						0
magic full helm + jewel + rune 06 + perfect sapphire -> hitpower helm	0			100					4	fhl,mag,upg	jew	r06	gpb				usetype,crf		50	50	gethit-skill		44	10	10	vit			10	10	ac-miss			100	100																																																																					0
magic chain boots + jewel + rune 08 + perfect sapphire -> hitpower boots	0			100					4	mbt,mag,upg	jew	r08	gpb				usetype,crf		50	50	gethit-skill		44	10	10	vit			10	10	ac-hth			120	120																																																																					0
magic chain gloves + jewel + rune 09 + perfect sapphire -> hitpower gloves	0			100					4	mgl,mag,upg	jew	r09	gpb				usetype,crf		50	50	gethit-skill		44	10	10	vit			10	10	knock			1	1																																																																					0
magic heavy belt + jewel + rune 07 + perfect sapphire -> hitpower belt	0			100					4	tbl,mag,upg	jew	r07	gpb				usetype,crf		50	50	gethit-skill		44	10	10	vit			10	10	dmg-to-mana			20	20																																																																					0
magic gothic shield + jewel + rune 05 + perfect sapphire -> hitpower shield	0			100					4	gts,mag,upg	jew	r05	gpb				usetype,crf		50	50	gethit-skill		44	10	10	vit			10	10	block			20	20																																																																					0
magic field plate + jewel + rune 04 + perfect sapphire -> hitpower body	0			100					4	fld,mag,upg	jew	r04	gpb				usetype,crf		50	50	gethit-skill		44	10	10	vit			10	10	balance1			40	40																																																																					0
magic amulet + jewel + rune 10 + perfect sapphire -> hitpower amulet	0			100					4	amul,mag	jew	r10	gpb				usetype,crf		50	50	gethit-skill		44	10	10	vit			10	10	howl			30	30																																																																					0
magic ring + jewel + rune 11 + perfect sapphire -> hitpower ring	0			100					4	ring,mag	jew	r11	gpb				usetype,crf		50	50	gethit-skill		44	10	10	vit			10	10	dex			10	10																																																																					0
magic blunt + jewel + rune 03 + perfect sapphire -> hitpower weapon	0			100					4	blun,mag	jew	r03	gpb				usetype,crf		50	50	gethit-skill		44	10	10	vit			10	10	dmg%			120	120																																																																					0
magic helm + jewel + rune 08 + perfect ruby -> blood helm	0			100					4	hlm,mag,upg	jew	r08	gpr				usetype,crf		50	50	lifesteal			6	6	hp			40	40	deadly			20	20																																																																					0
magic light plated boots + jewel + rune 05 + perfect ruby -> blood boots	0			100					4	tbt,mag,upg	jew	r05	gpr				usetype,crf		50	50	lifesteal			6	6	hp			40	40	regen			20	20																																																																					0
magic heavy gloves + jewel + rune 04 + perfect ruby -> blood gloves	0			100					4	vgl,mag,upg	jew	r04	gpr				usetype,crf		50	50	lifesteal			6	6	hp			40	40	crush			4	4																																																																					0
magic belt + jewel + rune 07 + perfect ruby -> blood belt	0			100					4	mbl,mag,upg	jew	r07	gpr				usetype,crf		50	50	lifesteal			6	6	hp			40	40	openwounds			20	20																																																																					0
magic spiked shield + jewel + rune 06 + perfect ruby -> blood shield	0			100					4	spk,mag,upg	jew	r06	gpr				usetype,crf		50	50	lifesteal			6	6	hp			40	40	vit			10	10																																																																					0
magic plate mail + jewel + rune 10 + perfect ruby -> blood body	0			100					4	plt,mag,upg	jew	r10	gpr				usetype,crf		50	50	lifesteal			6	6	hp			40	40	demon-heal			16	16																																																																					0
magic amulet + jewel + rune 11 + perfect ruby -> blood amulet	0			100					4	amul,mag	jew	r11	gpr				usetype,crf		50	50	lifesteal			8	8	hp			40	40	move1			20	20																																																																					0
magic ring + jewel + rune 12 + perfect ruby -> blood ring	0			100					4	ring,mag	jew	r12	gpr				usetype,crf		50	50	lifesteal			6	6	hp			40	40	str			10	10																																																																					0
magic axe + jewel + rune 09 + perfect ruby -> blood weapon	0			100					4	axe,mag	jew	r09	gpr				usetype,crf		50	50	lifesteal			8	8	hp			40	40	dmg%			120	120																																																																					0
magic mask + jewel + rune 04 + perfect amethyst -> caster helm	0			100					4	msk,mag,upg	jew	r04	gpv				usetype,crf		50	50	regen-mana			30	30	mana			40	40	manasteal			8	8																																																																					0
magic boots + jewel + rune 10 + perfect amethyst -> caster boots	0			100					4	lbt,mag,upg	jew	r10	gpv				usetype,crf		50	50	regen-mana			30	30	mana			40	40	mana%			10	10																																																																					0
magic leather gloves + jewel + rune 09 + perfect amethyst -> caster gloves	0			100					4	lgl,mag,upg	jew	r09	gpv				usetype,crf		50	50	regen-mana			30	30	mana			40	40	mana-kill			6	6																																																																					0
magic light belt + jewel + rune 06 + perfect amethyst -> caster belt	0			100					4	vbl,mag,upg	jew	r06	gpv				usetype,crf		50	50	regen-mana			30	30	mana			40	40	cast1			20	20																																																																					0
magic small shield + jewel + rune 05 + perfect amethyst -> caster shield	0			100					4	sml,mag,upg	jew	r05	gpv				usetype,crf		50	50	regen-mana			30	30	mana			40	40	block			20	20																																																																					0
magic light plate + jewel + rune 07 + perfect amethyst -> caster body	0			100					4	ltp,mag,upg	jew	r07	gpv				usetype,crf		50	50	regen-mana			30	30	mana			40	40	mana-kill			6	6																																																																					0
magic amulet + jewel + rune 08 + perfect amethyst -> caster amulet	0			100					4	amul,mag	jew	r08	gpv				usetype,crf		50	50	regen-mana			30	30	mana			40	40	cast1			20	20																																																																					0
magic ring + jewel + rune 11 + perfect amethyst -> caster ring	0			100					4	ring,mag	jew	r11	gpv				usetype,crf		50	50	regen-mana			30	30	mana			40	40	enr			10	10																																																																					0
magic rod + jewel + rune 03 + perfect amethyst -> caster weapon	0			100					4	rod,mag	jew	r03	gpv				usetype,crf		50	50	regen-mana			30	30	mana			40	40	mana%			10	10																																																																					0
magic crown + jewel + rune 06 + perfect emerald -> safety helm	0			100					4	crn,mag,upg	jew	r06	gpg				usetype,crf		50	50	red-dmg			12	12	red-mag			12	12	res-ltng			20	20	ac%			60	60																																																																0
magic plate boots + jewel + rune 09 + perfect emerald -> safety boots	0			100					4	hbt,mag,upg	jew	r09	gpg				usetype,crf		50	50	red-dmg			12	12	red-mag			12	12	res-fire			20	20	ac%			60	60																																																																0
