index	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*type	*uber	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	*eol
SuperKhalimFlail	0	1		1	1	0	0	qf2	Flail			5	5000	dblu		flpset					ltng-min		1	1	ltng-max		40	40	swing3		50	50	att		40	40	manasteal		6	6	lifesteal		6	6	splash	proc_SplashDamage	100	1																					0
Expansion																																																																					0
Coldkill	100	1		1	1	44	36	9ha	Hatchet			5	5000	cblu	cblu		invhaxu				dmg-cold	50	40	40	res-cold		15	15	res-cold-max		15	15	swing3		20	35	hit-skill	45	10	10	gethit-skill	44	10	5	dmg%		100	220	splash	proc_SplashDamage	100	1																	0
Butcher's Pupil	100	1		1	1	47	39	9ax	Cleaver			5	5000	cblu	cblu		invaxeu				deadly		25	40	openwounds		10	30	dmg%		150	200	indestruct		1	1	swing3		15	35	dmg-norm		30	50	splash	proc_SplashDamage	100	1																					0
Islestrike	100	1		1	1	51	43	92a	Twin Axe			5	5000								dru		1	2	str		10	10	dex		10	10	vit		10	10	enr		10	10	ac-miss		50	50	crush		5	5	dmg%		100	220	skill	233	1	1	skill	248	1	1	splash	proc_SplashDamage	100	1					0
Pompe's Wrath	100	1		1	1	53	45	9mp	Crowbill			5	5000	cred	cred		invmpiu				hit-skill	244	4	8	slow		50	50	dmg-fire		35	150	knock		1	1	dmg%		100	170	splash	proc_SplashDamage	100	1																									0
Guardian Naga	100	1		1	1	56	48	9wa	Naga			5	5000								hit-skill	92	5	8	dmg-max		20	20	res-pois		30	30	dmg%		100	200	dmg-pois	250	256	256	splash	proc_SplashDamage	100	1																									0
Warlord's Trust	100	1		1	1	43	35	9la	Military Axe			5	5000	whit	whit						ac		50	75	regen		10	25	hp/lvl	10			res-all		10	10	rep-dur	25			dmg%		100	200	splash	proc_SplashDamage	100	1																					0
Spellsteel	100	1		1	1	47	39	9ba	Bearded Axe			5	5000	whit	whit						ease		-30	-60	mana		50	120	red-mag		12	15	cast1		5	15	dmg%		100	165	regen-mana		25	25	oskill	54	1	1	oskill	87	3	20	oskill	101	10	20	oskill	225	10	20	splash	proc_SplashDamage	100	1					0
Stormrider	100	1		1	1	49	41	9bt	Tabar			5	5000	lred	lred		inv9btu				hit-skill	53	5	10	hit-skill	38	10	10	dmg-ltng		1	200	dmg-norm		35	75	dmg%		100	100	gethit-skill	38	15	5	splash	proc_SplashDamage	100	1																					0
Boneslayer Blade	100	1		1	1	50	42	9ga	Gothic Axe			5	5000				invgaxu				att-und/lvl	10			dmg-und/lvl	20			str		5	10	swing2		10	25	att%		35	35	dmg%		100	250	oskill	101	20	20	gethit-skill	101	50	10	splash	proc_SplashDamage	100	1													0
The Minataur	100	1		1	1	53	45	9gi	Ancient Axe			5	5000				inv9giu				stupidity		2	2	half-freeze		1	1	str		15	20	slow		50	50	crush		6	6	dmg-norm		20	30	dmg%		140	200	splash	proc_SplashDamage	100	1																	0
Suicide Branch	100	1		1	1	41	33	9wn	Burnt Wand			5	5000								allskills		1	1	cast2		25	60	res-all		10	10	mana%		10	10	hp		40	40	splash	proc_SplashDamage	100	1																									0
Carin Shard	100	1		1	1	43	35	9yw	Petrified Wand			5	5000	cblu	cblu						hp/lvl	10			cast2		5	15	mana/lvl	10			balance2		30	30	regen		5	5	nec		1	1	skilltab	8	1	2	splash	proc_SplashDamage	100	1																	0
Arm of King Leoric	100	1		1	1	44	36	9bw	Tomb Wand			5	5000				invbwnu				skilltab	8	1	2	nec		1	1	mana/lvl	10			gethit-skill	88	10	2	cast1		20	35	skilltab	7	2	2	skill	77	1	3	skill	80	1	3	skill	69	1	5	skill	70	1	5	splash	proc_SplashDamage	100	1					0
Blackhand Key	100	1		1	1	49	41	9gw	Grave Wand			5	5000	blac	blac		inv9gwu				skilltab	6	1	1	dmg-to-mana		4	4	hp		50	50	light		1	1	cast3		20	35	res-fire		30	40	nec		1	2	oskill	150	13	20	splash	proc_SplashDamage	100	1													0
Dark Clan Crusher	100	1		1	1	42	34	9cl	Cudgel			5	5000	dgld	dgld		invclbu				dru		1	2	dmg-demon		200	200	att-demon		100	250	dmg%		100	230	att%		20	25	demon-heal		15	15	splash	proc_SplashDamage	100	1																					0
Zakarum's Hand	100	1		1	1	45	37	9sc	Rune Scepter			5	5000	lpur	lpur						manasteal		8	8	ignore-ac		1	1	regen-mana		10	10	vit		5	15	hit-skill	59	6	5	dmg%		100	250	swing2		15	35	skill	114	1	3	skill	118	1	3	splash	proc_SplashDamage	100	1									0
The Fetid Sprinkler	100	1		1	1	46	38	9qs	Holy Water Sprinkler			5	5000								pal		1	2	hit-skill	87	5	1	hit-skill	81	10	1	dmg-pois	100	409	409	dmg%		160	190	att		150	200	dmg-norm		15	25	splash	proc_SplashDamage	100	1																	0
Hand of Blessed Light	100	1		1	1	50	42	9ws	Divine Scepter			5	5000	lyel							pal		1	2	dmg%		100	160	att%		100	100	ac		50	50	regen-mana		15	15	light		4	4	dmg-norm		20	45	skill	101	1	7	skill	121	1	3	hit-skill	121	5	4	splash	proc_SplashDamage	100	1					0
Fleshrender	100	1		1	1	46	38	9sp	Barbed Club			5	5000	blac			invspcu				openwounds		25	25	noheal		1	1	crush		4	4	deadly		20	20	dmg-norm		35	50	dmg%		100	210	dru		1	1	skilltab	16	1	2	splash	proc_SplashDamage	100	1													0
Sureshrill Frost	100	1		1	1	47	39	9ma	Flanged Mace			5	5000								dmg-cold	125	63	112	nofreeze		1	1	dmg%		100	200	dmg-norm		5	10	freeze		3	3	oskill	64	10	20	splash	proc_SplashDamage	100	1																					0
Moonfall	100	1		1	1	50	42	9mt	Jagged Star			5	5000				invmstu				hit-skill	56	5	6	dmg-fire		55	115	red-mag		9	12	dmg%		100	160	light		2	2	oskill	56	10	20	dmg-norm		10	15	splash	proc_SplashDamage	100	1																	0
Baezil's Vortex	100	1		1	1	53	45	9fl	Knout			5	5000	dblu	dblu						hit-skill	48	5	8	dmg-ltng		1	150	mana		100	100	res-ltng		25	25	dmg%		160	200	swing2		10	25	oskill	48	15	20	splash	proc_SplashDamage	100	1																	0
Earthshaker	100	1		1	1	51	43	9wh	Battle Hammer			5	5000								hit-skill	234	5	7	knock		1	1	swing3		15	40	dmg%		100	200	stupidity		1	1	skilltab	17	1	3	splash	proc_SplashDamage	100	1																					0
Bloodtree Stump	100	1		1	1	56	48	9m9	War Club			5	5000	dred							crush		10	10	dmg%		100	220	res-all		20	20	str		25	25	skilltab	13	1	2	skill	129	1	4	splash	proc_SplashDamage	100	1																					0
The Gavel of Pain0	100	0		5	1	53	45	9gm	Martel de Fer			5	5000				inv9gmu				hit-skill	66	5	1	gethit-skill	76	5	1	oskill	66	3	8	indestruct		1	1	dmg-norm		12	30	dmg%		100	180	splash	proc_SplashDamage	100	1																					0
Bloodletter	100	1		1	1	38	30	9ss	Gladius			5	5000	cred	cred						dmg-norm		12	45	att		90	90	lifesteal		8	8	vit		5	5	swing2		20	20	dmg%		100	160	oskill	Sword Mastery	1	5	oskill	Whirlwind	1	3	splash	proc_SplashDamage	100	1													0
Coldsteel Eye	100	1		1	1	39	31	9sm	Cutlass			5	5000	dgry			invscmu				stupidity		1	1	slow		30	30	deadly		20	60	manasteal		6	6	dmg%		200	250	swing2		10	25	splash	proc_SplashDamage	100	1																					0
Hexfire	100	1		1	1	41	33	9sb	Shamshir			5	5000				invsbru				oskill	62	6	20	ignore-ac		1	1	res-fire		25	25	res-fire-max		10	10	dmg-norm		35	40	dmg%		100	180	fireskill		1	5	splash	proc_SplashDamage	100	1																	0
Blade of Ali Baba	100	1		1	1	43	35	9fc	Tulwar			5	5000	cred	cred						gold%/lvl	20			mag%/lvl	8			mana		15	15	dmg%		50	125	dex		5	15	splash	proc_SplashDamage	100	1																									0
Ginther's Rift	100	1		1	1	45	37	9cr	Dimensional Blade			5	5000	cblu			inv9cru				red-mag	0	20	20	dmg-norm		25	50	swing3		30	30	dmg%		100	250	splash	proc_SplashDamage	100	1																													0
Headstriker	100	1		1	1	47	39	9bs	Battle Sword			5	5000	bwht	bwht						noheal		1	1	str		15	15	deadly/lvl	12			dmg/lvl	8			dmg%		100	170	splash	proc_SplashDamage	100	1																									0
Plague Bearer	100	1		1	1	49	41	9ls	Rune Sword			5	5000				inv9lsu				hit-skill	92	5	4	dmg-pois	200	384	384	dmg-norm		10	45	dmg%		150	150	res-pois		45	45	skill	238	1	7	splash	proc_SplashDamage	100	1																					0
The Atlantian	100	1		1	1	50	42	9wd	Ancient Sword			5	5000	lblu	lblu						att%		30	60	ac		75	75	str		16	16	dex		12	12	vit		10	10	dmg%		200	250	pal		1	3	splash	proc_SplashDamage	100	1																	0
Crainte Vomir	100	1		1	1	50	42	92h	Espadon			5	5000	lgld			inv2hsu				slow		35	35	dmg-ac		-70	-70	move2		10	25	red-dmg%		10	10	dmg%		100	200	swing3		25	70	splash	proc_SplashDamage	100	1																					0
Bing Sz Wang	100	1		1	1	51	43	9cm	Dacian Falx			5	5000								ease		-15	-30	dmg-cold	75	50	140	str		20	20	freeze		2	2	hit-skill	64	5	3	dmg%		100	180	splash	proc_SplashDamage	100	1																					0
The Vile Husk	100	1		1	1	52	44	9gs	Tusk Sword			5	5000	dgry	dgry		invgisu				hit-skill	66	6	1	dmg-und/lvl	60			res-pois		50	50	dmg-pois	150	426	426	dmg%		100	220	att-und/lvl	20			splash	proc_SplashDamage	100	1																					0
Cloudcrack	100	1		1	1	53	45	9b9	Gothic Sword			5	5000				invbswu				hit-skill	121	6	7	dmg-ltng		1	240	ac		30	30	light		2	2	res-ltng-max		10	10	dmg%		100	230	skilltab	11	1	2	skilltab	10	1	2	splash	proc_SplashDamage	100	1													0
Todesfaelle Flamme	100	1		1	1	54	46	9fb	Zweihander			5	5000				inv9fbu				dmg-fire		50	200	res-fire		40	40	abs-fire		10	10	att-skill	47	10	6	dmg%		100	190	oskill	52	10	20	hit-skill	51	10	20	splash	proc_SplashDamage	100	1																	0
Swordguard	100	1		1	1	55	48	9gd	Executioner Sword			5	5000	bwht	bwht		invgsdu				ease		-25	-50	ac/lvl	40			res-all		10	20	ac-miss		100	100	dmg-to-mana		5	5	dmg%		100	210	ac-hth		200	200	balance2		20	20	oskill	145	1	3	splash	proc_SplashDamage	100	1									0
Spineripper	100	1		1	1	40	32	9dg	Poignard			5	5000								ignore-ac		1	1	lifesteal		8	8	noheal		1	1	swing3		15	15	dex		10	10	dmg%		200	240	dmg-norm		15	27	nec		1	1	splash	proc_SplashDamage	100	1													0
Heart Carver	100	1		1	1	44	36	9di	Rondel			5	5000								deadly		20	40	ignore-ac		1	1	dmg-norm		15	35	dmg%		100	250	skill	131	1	4	skill	142	1	6	skill	150	4	4	splash	proc_SplashDamage	100	1																	0
Blackbog's Sharp	100	1		1	1	46	38	9kr	Cinquedeas			5	5000				invkrsu				slow		25	50	ac		50	50	dmg-norm		15	45	swing3		30	30	dmg-pois	250	500	500	skill	73	1	7	skill	83	1	7	skill	92	1	7	splash	proc_SplashDamage	100	1													0
Stormspike	100	1		1	1	49	41	9bl	Stilleto			5	5000	cblu	cblu		inv9blu				dmg-ltng		1	120	res-ltng/lvl	8			gethit-skill	38	25	3	dmg%		100	170	splash	proc_SplashDamage	100	1																													0
The Impaler	100	1		1	1	39	31	9sr	War Spear			5	5000	lred	lred						ignore-ac		1	1	att		100	150	swing2		10	25	openwounds		40	40	noheal		1	1	dmg%		100	200	skill	19	1	7	skill	14	1	5	splash	proc_SplashDamage	100	1													0
Kelpie Snare	100	1		1	1	41	33	9tr	Fuscina			5	5000				invtriu				slow		25	75	res-fire		50	50	hp/lvl	10			dmg-norm		30	50	str		10	10	dmg%		100	210	splash	proc_SplashDamage	100	1																					0
Soulfeast Tine	100	1		1	1	43	35	9br	War Fork			5	5000	lyel	lyel		inv9bru				ease		-20	-20	lifesteal		7	7	manasteal		7	7	vit		5	5	dmg%		100	200	att		150	250	splash	proc_SplashDamage	100	1																					0
Hone Sundan	100	1		1	1	45	37	9st	Yari			5	5000								dmg-norm		20	40	crush		9	9	rep-dur	10			dmg%		100	220	splash	proc_SplashDamage	100	1																													0
Spire of Honor	100	1		1	1	47	39	9p9	Lance			5	5000	lgry	lgry						att%		20	30	light		3	3	regen		20	20	balance2		10	25	dmg-norm		20	40	dmg-dem/lvl	12			dmg%		100	230	skilltab	9	1	5	ac%		10	30	splash	proc_SplashDamage	100	1									0
The Meat Scraper	100	1		1	1	49	41	9b7	Lochaber Axe			5	5000	dred	dred						dmg%		100	200	swing2		30	30	lifesteal		10	10	openwounds		50	50	mag%		25	25	skilltab	13	1	3	splash	proc_SplashDamage	100	1																					0
Blackleach Blade	100	1		1	1	50	42	9vo	Bill			5	5000	blac	blac						ease		-25	-25	hit-skill	72	5	5	light		1	1	lifesteal		8	8	dmg/lvl	10			dmg%		100	140	splash	proc_SplashDamage	100	1																					0
Athena's Wrath	100	1		1	1	50	42	9s8	Battle Scythe			5	5000				inv9s8u				dru		1	3	dex		15	15	swing2		15	35	hp/lvl	8			dmg/lvl	8			dmg%		100	210	splash	proc_SplashDamage	100	1																					0
Pierre Tombale Couant	100	1		1	1	51	43	9pa	Partizan			5	5000	lgld	lgld						deadly		20	55	bar		3	3	balance2		15	35	manasteal		6	6	dmg-norm		12	20	dmg%		100	250	att		100	200	splash	proc_SplashDamage	100	1																	0
Husoldal Evo	100	1		1	1	52	44	9h9	Bec-de-Corbin			5	5000								regen		20	20	att		100	250	noheal		1	1	dmg-norm		20	32	dmg%		100	220	swing2		10	25	splash	proc_SplashDamage	100	1																					0
Grim's Burning Dead	100	1		1	1	52	45	9wc	Grim Scythe			5	5000	cred	cred						dmg-fire		131	232	res-fire		45	45	dmg%		100	200	att		200	250	ease		-35	-50	nec		1	4	reduce-ac		50	50	ac%		20	20	splash	proc_SplashDamage	100	1													0
Razorswitch	100	1		1	1	36	28	8ss	Jo Stalf			5	5000	lpur							cast3		15	40	red-dmg%		15	25	mana		100	200	hp		80	80	red-mag		15	15	res-all		50	50	allskills		1	1	splash	proc_SplashDamage	100	1																	0
Ribcracker	100	1		1	1	39	31	8ws	Rune Staff			5	5000	lblu	lblu						dmg-norm		30	65	dmg%		100	250	crush		10	10	dex		15	15	ac		250	320	ac%		50	130	balance2		25	60	swing2		25	60	red-dmg%		5	10	splash	proc_SplashDamage	100	1									0
Chromatic Ire	100	1		1	1	43	35	8cs	Cedar Staff			5	5000				invcstu				sor		1	3	res-all		20	40	cast1		10	25	red-dmg%		15	20	hp%		20	25	skill	61	1	1	skill	63	1	1	skill	65	1	1	ac		120	210	splash	proc_SplashDamage	100	1									0
Warpspear	100	1		1	1	47	39	8bs	Gothic Staff			5	5000	cblu	cblu						sor		1	3	ignore-ac		1	1	skill	54	1	1	skill	43	3	3	skill	58	3	3	ac-miss		250	250	*hit-skill	54	50	1	*gethit-skill	54	25	1	ac		150	240	red-dmg%		15	20	splash	proc_SplashDamage	100	1					0
Skullcollector	100	1		1	1	49	41	8ls	Quarterstaff			5	5000	blac	blac		inv8wsu				mana%		10	25	mana-kill		20	20	allskills		2	2	mag%/lvl	8			ac		280	360	red-dmg%		20	30	splash	proc_SplashDamage	100	1																					0
Skystrike	100	1		1	1	36	28	8sb	Edge Bow			5	5000								dmg-ltng		1	250	att		100	100	enr		10	10	swing3		15	35	dmg%		100	220	hit-skill	56	5	6	ama		1	1																					0
Riphook	100	1		1	1	39	31	8hb	Razor Bow			5	5000	cred	cred						openwounds		15	30	dmg%		100	220	slow		20	30	mana		35	35	swing2		15	35	lifesteal		7	10																									0
Kuko Shakaku	100	1		1	1	41	33	8lb	CedarBow			5	5000	lpur	lpur		inv8lbu				skill	27	3	3	explosivearrow		7	7	dmg%		100	200	pierce		50	50	dmg-fire		40	180	skilltab	0	1	3																									0
Endlesshail	100	1		1	1	44	36	8cb	Double Bow			5	5000				invcbwu				res-cold		20	40	mana		40	40	ac-miss		50	50	oskill	Strafe	1	5	dmg%		100	250	dmg-cold	75	15	30																									0
Whichwild String	100	1		1	1	47	39	8s8	Short Siege Bow			5	5000	lblu	lblu		inv8s8u				hit-skill	66	5	5	res-all		40	40	deadly/lvl	8			dmg%		100	200	magicarrow		20	20																													0
Cliffkiller	100	1		1	1	49	41	8l8	Long Siege Bow			5	5000	dgld							ama		1	2	dmg%		100	230	ac-miss		50	100	knock		1	1	hp		50	50	dmg-min		5	10	dmg-max		20	30																					0
Magewrath	100	1		1	1	51	43	8sw	Rune Bow			5	5000	oran			invswbu				manasteal		15	15	red-mag		9	13	skill	22	1	3	att		200	250	dex		10	10	stupidity		1	1	dmg-norm		25	50	dmg%		100	170	ama		1	1													0
Godstrike Arch	100	1		1	1	54	46	8lw	Gothic Bow			5	5000	lgry	lgry						dmg%		100	250	att%		100	150	dmg-undead		100	200	dmg-demon		100	200	hit-skill	121	5	7	swing2		25	70	regen		10	15																					0
Langer Briser	100	1		1	1	40	32	8lx	Arbalest			5	5000				inv8lxu				knock		1	1	dmg%		100	200	mag%		30	60	hp		30	30	dmg-max		10	30	openwounds		20	40	dmg-ltng		1	212																					0
Pus Spiter	100	1		1	1	44	36	8mx	Siege Crossbow			5	5000	cgrn	cgrn		inv8mxu				dmg-pois	200	192	192	hit-skill	91	5	1	nec		1	2	ease		-30	-60	gethit-skill	92	9	6	swing2		5	15	dmg%		150	220	att/lvl	10																			0
Buriza-Do Kyanon	100	1		1	1	59	41	8hx	Balista			5	5000				invhxbu				pierce		100	100	dex		35	35	ac		75	150	dmg/lvl	24			swing2		40	100	dmg%		100	230	freeze		3	3	dmg-cold	200	32	196																	0
Demon Machine	100	1		1	1	57	49	8rx	Chu-Ko-Nu			5	5000	blac	blac		invrxbu				ac		100	300	mana		36	36	pierce		33	66	explosivearrow		6	6	dmg-max		66	66	dmg%		100	150	att		632	632																					0
Armor																																																																					0
Peasent Crown	100	1		1	1	36	28	xap	War Hat			3	5000	lgry							enr		10	25	vit		10	25	allskills		1	1	move2		10	20	regen		6	12	ac%		50	130																									0
Rockstopper	100	1		1	1	39	31	xkp	Sallet			3	5000				invxkpu				res-ltng		20	40	red-dmg%		10	10	balance2		15	35	ac%		100	250	res-fire		20	50	res-cold		20	40	vit		10	20																					0
Stealskull	100	1		1	1	43	35	xlm	Casque			3	5000				invhlmu				manasteal		5	5	lifesteal		5	5	balance2		5	15	swing2		5	15	ac%		100	250	mag%		30	50																									0
Darksight Helm	100	1		1	1	46	38	xhl	Basinet			3	5000	blac	blac		invfhlu				light		1	1	ac/lvl	16			nofreeze		1	1	manasteal		5	5	gethit-skill	71	6	3	oskill	264	5	20	res-fire		20	40																					0
Valkiry Wing	100	1		1	1	52	44	xhm	Winged Helm			3	5000	lgld							ac%		150	200	move2		10	35	balance2		25	60	ama		2	2	mana-kill		2	4																													0
Crown of Thieves	100	1		1	1	57	49	xrn	Grand Crown			3	5000	dgld	dgld		invxrnu				dex		25	25	lifesteal		9	12	hp		30	60	mana		35	35	res-fire		33	33	ac%		100	230	gold%		80	100																					0
Blackhorn's Face	100	1		1	1	49	41	xsk	Death Mask			3	5000	blac	blac						ac%		180	220	slow		10	20	noheal		1	1	abs-ltng		20	20	res-ltng		15	15																													0
Vampiregaze	100	1		1	1	49	41	xh9	Grim Helm			3	5000	cgrn	cgrn		invbhmu				manasteal		6	8	lifesteal		6	8	vit		5	10	red-dmg%		20	20	red-mag		10	15	ac%		50	130	dmg-cold	100	6	22																					0
The Spirit Shroud	100	1		1	1	36	28	xui	Ghost Armor			3	5000								nofreeze		1	1	allskills		1	1	red-mag		7	11	regen		10	10	ac%		100	185																													0
Skin of the Vipermagi	100	1		1	1	37	29	xea	SerpentSkin Armor			3	5000	dblu	dblu						ac%		100	120	res-all		20	40	cast3		30	30	red-mag		9	13	allskills		1	1																													0
Skin of the Flayerd One	100	1		1	1	39	31	xla	Demonhide Armor			3	5000	lred	lred						rep-dur	1			regen		10	30	ac%		100	200	lifesteal		5	7																																	0
Ironpelt	100	1		1	1	41	33	xtu	Tresllised Armor			3	5000	dgry	dgry		invxtuu				ac%		50	100	hp		25	25	red-mag		10	16	red-dmg		15	20	ac/lvl	24																															0
Spiritforge	100	1		1	1	43	35	xng	Linked Mail			3	5000								light		4	4	hp/lvl	10			dmg-fire		20	65	res-fire		5	5	ac%		100	170	str		10	20																									0
Crow Caw	100	1		1	1	45	37	xcl	Tigulated Mail			3	5000								openwounds		35	35	ac%		100	180	dex		15	15	balance2		15	15	swing2		10	20	oskill	221	1	7																									0
Shaftstop	100	1		1	1	46	38	xhn	Mesh Armor			3	5000	dgry			invunichn1				ac-miss		100	250	red-dmg%		30	30	hp		60	60	ac%		100	250																																	0
Duriel's Shell	100	1		1	1	49	41	xrs	Cuirass			3	5000	oran	oran						aura	Holy Freeze	1	3	ac/lvl	10			hp/lvl	8			ac%		100	220	res-fire		20	20	res-ltng		20	20	res-pois		20	20	res-cold		50	50	nofreeze		1	1													0
Skullder's Ire	100	1		1	1	50	42	xpl	Russet Armor			3	5000								allskills		1	1	mag%/lvl	10			ac%		100	220	red-mag		10	10	rep-dur	1			*vit		-10	-10	*enr		-10	-10																					0
Guardian Angel	100	1		1	1	53	45	ult	Hellforged Plate			3	5000	lgry	lgry						ease		-25	-50	pal		1	1	ac%		100	250	block2		15	35	res-all-max		20	20	att-dem/lvl	5			block		10	2	res-all		20	30																	0
Toothrow	100	1		1	1	56	48	xld	Sharktooth Armor			3	5000	whit	whit						ac%		160	220	ac		40	60	str		10	10	openwounds		20	50	res-fire		15	15																													0
Atma's Wail	100	1		1	1	59	51	xth	Embossed Plate			3	5000								dex		15	15	regen		10	10	mana%		15	15	balance2		15	35	ac/lvl	16			mag%		20	20	ac%		100	175																					0
Black Hades	100	1		1	1	61	53	xul	Chaos Armor			3	5000								light		1	2	att-demon		100	250	half-freeze		1	1	ac%		100	220	dmg-demon		30	60																													0
Corpsemourn	100	1		1	1	63	55	xar	Ornate Armor			3	5000	blac	blac		invxaru				str		5	15	vit		10	10	res-cold		35	35	gethit-skill	76	6	2	ac%		150	180	dmg-fire		12	36	oskill	74	5	20																					0
Que-Hegan's Wisdon	100	1		1	1	59	51	xtp	Mage Plate			3	5000								cast2		15	30	mana-kill		3	3	red-mag		6	10	enr		15	15	balance2		10	25	ac%		140	160	allskills		1	1																					0
Visceratuant	100	1		1	1	36	28	xuc	Defender			3	5000	dred			invbucu				sor		1	1	block2		15	35	block		15	35	ac%		100	150																																	0
Mosers Blessed Circle	100	1		1	1	39	31	xml	Round Shield			3	5000				invxmlu				res-all		20	25	block		20	30	ac%		100	250	block2		15	35																																	0
Stormchaser	100	1		1	1	43	35	xrg	Scutum			3	5000	cblu	cblu		invxrgu				dmg-max	0	35	35	block	0	10	25	half-freeze	0	1	1	res-ltng	0	35	35	att	0	150	150	ac%	0	60	60																									0
Tiamat's Rebuke	100	1		1	1	46	38	xit	Dragon Shield			3	5000	lgry	lgry		invkitu				dmg-cold	150	27	53	dmg-fire		35	95	dmg-ltng		1	120	res-all		25	35	ac%		100	220	gethit-skill	44	5	9	gethit-skill	48	5	7	gethit-skill	62	5	6																	0
Kerke's Sanctuary	100	1		1	1	52	44	xow	Pavise			3	5000	lgrn	lgrn		invtowu				hp/lvl	20			regen		15	15	red-dmg		11	16	red-mag		15	15	ac%		100	135	block		15	30																									0
Radimant's Sphere	100	1		1	1	58	50	xts	Ancient Shield			3	5000				invgtsu				dmg-pois	100	204	204	gethit-skill	92	5	5	res-pois		50	75	ac%		100	220	block		10	25	block2		15	25	oskill	83	6	20																					0
Lidless Wall	100	1		1	1	49	41	xsh	Grim Shield			3	5000	dgld	dgld		invxshu				light		1	2	allskills		1	1	cast2		20	20	mana-kill		3	5	ac%		50	150	enr		5	15	mana%		10	10																					0
Lance Guard	100	1		1	1	43	35	xpk	Barbed Shield			3	5000				invxpku				hp		30	50	balance2		20	35	dmg-to-mana		3	3	deadly		20	20	ac%		50	150																													0
Venom Grip	100	1		1	1	37	29	xlg	Demonhide Gloves			5	5000	dgrn							cast3		10	25	regen-mana		10	25	fireskill		1	1	dmg-fire		1	6	ac		10	10	ac%		100	180																									0
Gravepalm	100	1		1	1	39	32	xvg	Sharkskin Gloves			5	5000								cast3		10	25	regen-mana		10	25	extra-cold		5	5	dmg-fire		1	6	ac		10	10	ac%		100	180																									0
Ghoulhide	100	1		1	1	44	36	xmg	Heavy Bracers			5	5000								cast3		10	25	regen-mana		10	25	extra-ltng		5	5	dmg-fire		1	6	ac		10	10	ac%		100	180																									0
Lavagout	100	1		5	1	50	42	xtg	Battle Guantlets			5	5000	lyel							res-fire		20	25	half-freeze		1	1	oskill	52	5	10	swing2		20	20	ac%		100	230	dmg-fire		13	46	skilltab	2	1	3	skilltab	0	1	4																	0
Hellmouth	100	1		1	1	55	47	xhg	War Gauntlets			5	5000								dmg-fire		15	72	abs-fire		15	15	ac%		100	200	hit-skill	225	5	12	hit-skill	56	5	4																													0
Infernostride	100	1		1	1	37	29	xlb	Demonhide Boots			5	5000								dmg-fire		12	33	move2		10	25	res-fire-max		10	10	res-fire		30	30	light		2	2	ac%		100	165	gold%		40	70	ac		15	15	gethit-skill	46	5	8													0
Waterwalk	100	1		1	1	40	32	xvb	Sharkskin Boots			5	5000								ac-miss		50	100	move2		10	25	dex		15	15	ac%		180	210	hp		45	65	vit		10	30	res-fire-max		5	5																					0
Silkweave	100	1		1	1	44	36	xmb	Mesh Boots			5	5000								ac%		100	200	mana-kill		5	5	ac-miss		200	200	mana%		100	230	move2		15	35																													0
Wartraveler	100	1		1	1	50	42	xtb	Battle Boots			5	5000								vit		10	30	str		10	10	mag%		30	50	dmg-norm		15	25	move2		15	30	ac%		100	220																									0
Gorerider	100	1		1	1	55	47	xhb	War Boots			5	5000	dred							ease		-25	-25	deadly		10	20	move2		15	35	crush		3	3	openwounds		5	15	ac%		100	230	vit		5	15																					0
String of Ears	100	1		1	1	37	29	zlb	Demonhide Sash			5	5000	lred							red-mag		10	15	red-dmg%		10	15	lifesteal		6	8	ac%		100	200	ac		15	15	rep-dur	1																											0
Razortail	100	1		1	1	39	32	zvb	Sharkskin Belt			5	5000								dmg-max		10	10	dex		15	15	pierce		20	50	ac		15	15	ac%		100	165																													0
Gloomstrap	100	1		1	1	45	36	zmb	Mesh Belt			5	5000								light		1	2	mana%		15	15	manasteal		5	5	ac%		100	160	vit		15	15	regen-mana		15	15																									0
Snowclash	100	1		1	1	49	42	ztb	Battle Belt			5	5000								gethit-skill	59	5	10	abs-cold		15	15	res-cold-max		15	15	dmg-cold	75	13	21	ac%		100	185	skill	59	1	2	skill	55	1	4	skill	60	1	3																	0
Thudergod's Vigor	100	1		1	1	55	47	zhb	War Belt			5	5000								gethit-skill	121	5	10	dmg-ltng		1	50	res-ltng-max		10	10	abs-ltng		20	20	ac%		100	250	vit		10	30	str		10	25	aura	Vigor	1	1																	0
Elite Uniques																																																																					0
Harlequin Crest0	100	0		1	1	69	62	ci2	Tiara			3	5000	cgrn	cgrn						allskills		1	2	hp		100	120	mana		50	150	mag%		50	50	red-dmg%		10	10	str		5	20	dex		5	20	vit		5	20	enr		5	20													0
Veil of Steel	100	1		1	1	70	73	uhm	Spired Helm			3	5000	lgry	lgry						res-all		25	50	ac%		30	70	str		15	15	vit		15	15	light		1	1	red-mag		20	40	ac		140	140	red-dmg		20	30																	0
