Name	Rune Name	complete	server	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*runes	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	eol
FlawedAmethystRuneword		0		glov										gfv						dmg-min		2	2	dmg-max		2	2	dmg%		2	3	light		1	1													0
FlawedAmethystRuneword		1		glov										gfv	gfv					dmg-min		3	5	dmg-max		3	5	dmg%		4	6	light		1	1													0
FlawedAmethystRuneword		1		glov										gfv	gfv	gfv				dmg-min		5	7	dmg-max		5	7	dmg%		5	9	light		2	2													0
FlawedAmethystRuneword		1		glov										gfv	gfv	gfv	gfv			dmg-min		7	10	dmg-max		7	10	dmg%		7	11	light		3	3													0
NormalAmethystRuneword		0		glov										gsv						dmg-min		3	5	dmg-max		3	5	dmg%		2	4	light		1	1													0
NormalAmethystRuneword		1		glov										gsv	gsv					dmg-min		7	10	dmg-max		7	10	dmg%		5	8	light		1	1													0
NormalAmethystRuneword		1		glov										gsv	gsv	gsv				dmg-min		10	14	dmg-max		10	14	dmg%		7	11	light		2	2													0
NormalAmethystRuneword		1		glov										gsv	gsv	gsv	gsv			dmg-min		12	17	dmg-max		12	17	dmg%		9	15	light		3	3													0
FlawlessAmethystRuneword		0		glov										gzv						dmg-min		4	6	dmg-max		4	6	dmg%		4	6	light		1	1													0
FlawlessAmethystRuneword		1		glov										gzv	gzv					dmg-min		7	10	dmg-max		7	10	dmg%		7	11	light		1	1													0
FlawlessAmethystRuneword		1		glov										gzv	gzv	gzv				dmg-min		10	14	dmg-max		10	14	dmg%		10	17	light		2	2													0
FlawlessAmethystRuneword		1		glov										gzv	gzv	gzv	gzv			dmg-min		13	19	dmg-max		13	19	dmg%		14	23	light		3	3													0
PerfectAmethystRuneword		0		glov										gpv						dmg-min		6	8	dmg-max		6	8	dmg%		10	17	light		1	1													0
PerfectAmethystRuneword		1		glov										gpv	gpv					dmg-min		10	14	dmg-max		10	14	dmg%		14	23	light		1	1													0
PerfectAmethystRuneword		1		glov										gpv	gpv	gpv				dmg-min		13	19	dmg-max		13	19	dmg%		17	28	light		2	2													0
PerfectAmethystRuneword		1		glov										gpv	gpv	gpv	gpv			dmg-min		17	24	dmg-max		17	24	dmg%		18	30	light		3	3													0
ChippedAmethystRunewordArmor		0		tors	cloa									gcv						ac		1	5	ac%		7	14	light		1	1																	0
ChippedAmethystRunewordArmor		1		tors	cloa									gcv	gcv					ac		2	10	ac%		10	19	light		1	1																	0
ChippedAmethystRunewordArmor		1		tors	cloa									gcv	gcv	gcv				ac		3	15	ac%		12	24	light		2	2																	0
ChippedAmethystRunewordArmor		1		tors	cloa									gcv	gcv	gcv	gcv			ac		4	20	ac%		15	30	light		3	3																	0
ChippedAmethystRunewordArmor		1		tors	cloa									gcv	gcv	gcv	gcv	gcv		ac		5	25	ac%		18	35	light		4	4																	0
ChippedAmethystRunewordArmor		1		tors	cloa									gcv	gcv	gcv	gcv	gcv	gcv	ac		6	30	ac%		20	40	light		5	5																	0
FlawedAmethystRunewordArmor		0		tors	cloa									gfv						ac		2	7	ac%		14	27	light		1	1																	0
FlawedAmethystRunewordArmor		1		tors	cloa									gfv	gfv					ac		3	14	ac%		19	38	light		1	1																	0
FlawedAmethystRunewordArmor		1		tors	cloa									gfv	gfv	gfv				ac		4	20	ac%		24	48	light		2	2																	0
FlawedAmethystRunewordArmor		1		tors	cloa									gfv	gfv	gfv	gfv			ac		6	27	ac%		30	59	light		3	3																	0
FlawedAmethystRunewordArmor		1		tors	cloa									gfv	gfv	gfv	gfv	gfv		ac		7	34	ac%		35	70	light		4	4																	0
FlawedAmethystRunewordArmor		1		tors	cloa									gfv	gfv	gfv	gfv	gfv	gfv	ac		8	40	ac%		40	80	light		5	5																	0
NormalAmethystRunewordArmor		0		tors	cloa									gsv						ac		2	9	ac%		20	40	light		1	1																	0
NormalAmethystRunewordArmor		1		tors	cloa									gsv	gsv					ac		4	17	ac%		28	56	light		1	1																	0
NormalAmethystRunewordArmor		1		tors	cloa									gsv	gsv	gsv				ac		5	25	ac%		36	72	light		2	2																	0
NormalAmethystRunewordArmor		1		tors	cloa									gsv	gsv	gsv	gsv			ac		7	34	ac%		44	88	light		3	3																	0
NormalAmethystRunewordArmor		1		tors	cloa									gsv	gsv	gsv	gsv	gsv		ac		9	42	ac%		52	104	light		4	4																	0
NormalAmethystRunewordArmor		1		tors	cloa									gsv	gsv	gsv	gsv	gsv	gsv	ac		10	50	ac%		60	120	light		5	5																	0
FlawlessAmethystRunewordArmor		0		tors	cloa									gzv						ac		2	10	ac%		27	54	light		1	1																	0
FlawlessAmethystRunewordArmor		1		tors	cloa									gzv	gzv					ac		4	20	ac%		38	75	light		1	1																	0
FlawlessAmethystRunewordArmor		1		tors	cloa									gzv	gzv	gzv				ac		6	30	ac%		48	96	light		2	2																	0
FlawlessAmethystRunewordArmor		1		tors	cloa									gzv	gzv	gzv	gzv			ac		8	40	ac%		59	118	light		3	3																	0
FlawlessAmethystRunewordArmor		1		tors	cloa									gzv	gzv	gzv	gzv	gzv		ac		10	50	ac%		70	139	light		4	4																	0
FlawlessAmethystRunewordArmor		1		tors	cloa									gzv	gzv	gzv	gzv	gzv	gzv	ac		12	60	ac%		80	160	light		5	5																	0
PerfectAmethystRunewordArmor		0		tors	cloa									gpv						ac		3	12	ac%		34	67	light		1	1																	0
PerfectAmethystRunewordArmor		1		tors	cloa									gpv	gpv					ac		5	24	ac%		47	94	light		1	1																	0
PerfectAmethystRunewordArmor		1		tors	cloa									gpv	gpv	gpv				ac		7	35	ac%		60	120	light		2	2																	0
PerfectAmethystRunewordArmor		1		tors	cloa									gpv	gpv	gpv	gpv			ac		10	47	ac%		74	147	light		3	3																	0
PerfectAmethystRunewordArmor		1		tors	cloa									gpv	gpv	gpv	gpv	gpv		ac		12	59	ac%		80	160	light		4	4																	0
PerfectAmethystRunewordArmor		1		tors	cloa									gpv	gpv	gpv	gpv	gpv	gpv	ac		14	70	ac%		100	200	light		5	5																	0
ChippedAmethystRunewordArmor		0		helm										gcv						ac		1	5	ac%		7	14	light		1	1																	0
ChippedAmethystRunewordArmor		1		helm										gcv	gcv					ac		2	10	ac%		12	23	light		1	1																	0
ChippedAmethystRunewordArmor		1		helm										gcv	gcv	gcv				ac		3	15	ac%		16	32	light		2	2																	0
ChippedAmethystRunewordArmor		1		helm										gcv	gcv	gcv	gcv			ac		4	20	ac%		20	40	light		3	3																	0
FlawedAmethystRunewordArmor		0		helm										gfv						ac		2	7	ac%		14	27	light		1	1																	0
FlawedAmethystRunewordArmor		1		helm										gfv	gfv					ac		3	14	ac%		22	44	light		1	1																	0
FlawedAmethystRunewordArmor		1		helm										gfv	gfv	gfv				ac		4	20	ac%		31	62	light		2	2																	0
FlawedAmethystRunewordArmor		1		helm										gfv	gfv	gfv	gfv			ac		6	27	ac%		40	80	light		3	3																	0
NormalAmethystRunewordArmor		0		helm										gsv						ac		2	9	ac%		20	40	light		1	1																	0
NormalAmethystRunewordArmor		1		helm										gsv	gsv					ac		4	17	ac%		34	67	light		1	1																	0
NormalAmethystRunewordArmor		1		helm										gsv	gsv	gsv				ac		5	25	ac%		47	94	light		2	2																	0
NormalAmethystRunewordArmor		1		helm										gsv	gsv	gsv	gsv			ac		7	34	ac%		60	120	light		3	3																	0
FlawlessAmethystRunewordArmor		0		helm										gzv						ac		2	10	ac%		27	54	light		1	1																	0
FlawlessAmethystRunewordArmor		1		helm										gzv	gzv					ac		4	20	ac%		45	90	light		1	1																	0
FlawlessAmethystRunewordArmor		1		helm										gzv	gzv	gzv				ac		6	30	ac%		63	126	light		2	2																	0
FlawlessAmethystRunewordArmor		1		helm										gzv	gzv	gzv	gzv			ac		8	40	ac%		80	160	light		3	3																	0
PerfectAmethystRunewordArmor		0		helm										gpv						ac		3	12	ac%		34	67	light		1	1																	0
PerfectAmethystRunewordArmor		1		helm										gpv	gpv					ac		5	24	ac%		56	111	light		1	1																	0
PerfectAmethystRunewordArmor		1		helm										gpv	gpv	gpv				ac		7	35	ac%		78	155	light		2	2																	0
PerfectAmethystRunewordArmor		1		helm										gpv	gpv	gpv	gpv			ac		10	47	ac%		100	200	light		3	3																	0
ChippedAmethystRunewordArmor		0		belt										gcv						ac		2	9	ac%		7	14	light		1	1																	0
ChippedAmethystRunewordArmor		1		belt										gcv	gcv					ac		4	17	ac%		14	27	light		1	1																	0
FlawedAmethystRunewordArmor		0		belt										gfv						ac		3	15	ac%		20	40	light		1	1																	0
FlawedAmethystRunewordArmor		1		belt										gfv	gfv					ac		6	30	ac%		27	54	light		1	1																	0
NormalAmethystRunewordArmor		0		belt										gsv						ac		5	22	ac%		34	67	light		1	1																	0
NormalAmethystRunewordArmor		1		belt										gsv	gsv					ac		9	44	ac%		40	80	light		1	1																	0
FlawlessAmethystRunewordArmor		0		belt										gzv						ac		6	27	ac%		47	94	light		1	1																	0
FlawlessAmethystRunewordArmor		1		belt										gzv	gzv					ac		11	54	ac%		54	107	light		1	1																	0
PerfectAmethystRunewordArmor		0		belt										gpv						ac		7	34	ac%		60	120	light		1	1																	0
PerfectAmethystRunewordArmor		1		belt										gpv	gpv					ac		14	67	ac%		67	134	light		1	1																	0
ChippedAmethystRunewordShield		0		shld										gcv						ac%		6	11	block		1	1	light		1	1																	0
ChippedAmethystRunewordShield		1		shld										gcv	gcv					ac%		9	18	block		2	2	light		1	1																	0
ChippedAmethystRunewordShield		1		shld										gcv	gcv	gcv				ac%		12	24	block		3	3	light		2	2																	0
ChippedAmethystRunewordShield		1		shld										gcv	gcv	gcv	gcv			ac%		16	31	block		4	4	light		3	3																	0
ChippedAmethystRunewordShield		1		shld										gcv	gcv	gcv	gcv	gcv		ac%		20	40	block		5	5	light		4	4																	0
ChippedAmethystRunewordShield		1		shld										gcv	gcv	gcv	gcv	gcv	gcv	ac%		24	47	block		6	6	light		5	5																	0
FlawedAmethystRunewordShield		0		shld										gfv						ac%		9	18	block		2	2	light		1	1																	0
FlawedAmethystRunewordShield		1		shld										gfv	gfv					ac%		12	24	block		4	4	light		1	1																	0
FlawedAmethystRunewordShield		1		shld										gfv	gfv	gfv				ac%		17	34	block		6	6	light		2	2																	0
FlawedAmethystRunewordShield		1		shld										gfv	gfv	gfv	gfv			ac%		22	44	block		8	8	light		3	3																	0
FlawedAmethystRunewordShield		1		shld										gfv	gfv	gfv	gfv	gfv		ac%		26	51	block		10	10	light		4	4																	0
FlawedAmethystRunewordShield		1		shld										gfv	gfv	gfv	gfv	gfv	gfv	ac%		30	60	block		12	12	light		5	5																	0
NormalAmethystRunewordShield		0		shld										gsv						ac%		20	40	block		3	3	light		1	1																	0
NormalAmethystRunewordShield		1		shld										gsv	gsv					ac%		27	54	block		6	6	light		1	1																	0
NormalAmethystRunewordShield		1		shld										gsv	gsv	gsv				ac%		34	67	block		9	9	light		2	2																	0
NormalAmethystRunewordShield		1		shld										gsv	gsv	gsv	gsv			ac%		44	87	block		12	12	light		3	3																	0
NormalAmethystRunewordShield		1		shld										gsv	gsv	gsv	gsv	gsv		ac%		50	100	block		15	15	light		4	4																	0
NormalAmethystRunewordShield		1		shld										gsv	gsv	gsv	gsv	gsv	gsv	ac%		57	114	block		18	18	light		5	5																	0
FlawlessAmethystRunewordShield		0		shld										gzv						ac%		59	118	block		4	4	light		1	1																	0
FlawlessAmethystRunewordShield		1		shld										gzv	gzv					ac%		67	134	block		8	8	light		1	1																	0
FlawlessAmethystRunewordShield		1		shld										gzv	gzv	gzv				ac%		77	154	block		12	12	light		2	2																	0
FlawlessAmethystRunewordShield		1		shld										gzv	gzv	gzv	gzv			ac%		84	167	block		16	16	light		3	3																	0
FlawlessAmethystRunewordShield		1		shld										gzv	gzv	gzv	gzv	gzv		ac%		92	184	block		20	20	light		4	4																	0
FlawlessAmethystRunewordShield		1		shld										gzv	gzv	gzv	gzv	gzv	gzv	ac%		100	200	block		24	24	light		5	5																	0
PerfectAmethystRunewordShield		0		shld										gpv						ac%		84	167	block		5	5	light		1	1																	0
PerfectAmethystRunewordShield		1		shld										gpv	gpv					ac%		97	194	block		10	10	light		1	1																	0
PerfectAmethystRunewordShield		1		shld										gpv	gpv	gpv				ac%		107	214	block		15	15	light		2	2																	0
PerfectAmethystRunewordShield		1		shld										gpv	gpv	gpv	gpv			ac%		119	238	block		20	20	light		3	3																	0
PerfectAmethystRunewordShield		1		shld										gpv	gpv	gpv	gpv	gpv		ac%		130	260	block		25	25	light		4	4																	0
PerfectAmethystRunewordShield		1		shld										gpv	gpv	gpv	gpv	gpv	gpv	ac%		144	287	block		30	30	light		5	5																	0
ChippedAmethystRunewordShield		0		boot										gcv						ac%		7	14	block		2	2	light		1	1																	0
ChippedAmethystRunewordShield		1		boot										gcv	gcv					ac%		14	27	block		4	4	light		1	1																	0
ChippedAmethystRunewordShield		1		boot										gcv	gcv	gcv				ac%		20	40	block		6	6	light		2	2																	0
ChippedAmethystRunewordShield		1		boot										gcv	gcv	gcv	gcv			ac%		27	54	block		8	8	light		3	3																	0
FlawedAmethystRunewordShield		0		boot										gfv						ac%		11	22	block		4	4	light		1	1																	0
FlawedAmethystRunewordShield		1		boot										gfv	gfv					ac%		22	43	block		6	6	light		1	1																	0
FlawedAmethystRunewordShield		1		boot										gfv	gfv	gfv				ac%		31	62	block		8	8	light		2	2																	0
FlawedAmethystRunewordShield		1		boot										gfv	gfv	gfv	gfv			ac%		40	80	block		10	10	light		3	3																	0
NormalAmethystRunewordShield		0		boot										gsv						ac%		14	27	block		6	6	light		1	1																	0
NormalAmethystRunewordShield		1		boot										gsv	gsv					ac%		27	54	block		8	8	light		1	1																	0
NormalAmethystRunewordShield		1		boot										gsv	gsv	gsv				ac%		40	80	block		10	10	light		2	2																	0
NormalAmethystRunewordShield		1		boot										gsv	gsv	gsv	gsv			ac%		54	107	block		12	12	light		3	3																	0
FlawlessAmethystRunewordShield		0		boot										gzv						ac%		20	40	block		8	8	light		1	1																	0
FlawlessAmethystRunewordShield		1		boot										gzv	gzv					ac%		40	80	block		10	10	light		1	1																	0
FlawlessAmethystRunewordShield		1		boot										gzv	gzv	gzv				ac%		60	120	block		12	12	light		2	2																	0
FlawlessAmethystRunewordShield		1		boot										gzv	gzv	gzv	gzv			ac%		80	160	block		14	14	light		3	3																	0
PerfectAmethystRunewordShield		0		boot										gpv						ac%		60	120	block		10	10	light		1	1																	0
PerfectAmethystRunewordShield		1		boot										gpv	gpv					ac%		80	160	block		12	12	light		1	1																	0
PerfectAmethystRunewordShield		1		boot										gpv	gpv	gpv				ac%		100	200	block		14	14	light		2	2																	0
PerfectAmethystRunewordShield		1		boot										gpv	gpv	gpv	gpv			ac%		107	214	block		16	16	light		3	3																	0
ChippedSaphireRuneword		0		weap										gcb						freeze		1	1	mana-kill		1	1	dmg-cold		3	5	pierce-cold		1	1	dmg%		10	10	swing2		10	10	splash	proc_SplashDamage	100	1	0
ChippedSaphireRuneword		1		weap										gcb	gcb					freeze		2	2	mana-kill		2	2	dmg-cold		7	9	pierce-cold		2	2	dmg%		12	12	swing2		10	10	splash	proc_SplashDamage	100	1	0
ChippedSaphireRuneword		1		weap										gcb	gcb	gcb				freeze		3	3	mana-kill		3	3	dmg-cold		10	14	pierce-cold		3	3	dmg%		14	14	swing2		10	10	splash	proc_SplashDamage	100	1	0
ChippedSaphireRuneword		1		weap										gcb	gcb	gcb	gcb			freeze		4	4	mana-kill		4	4	dmg-cold		12	20	pierce-cold		4	4	dmg%		16	16	swing2		10	10	splash	proc_SplashDamage	100	1	0
ChippedSaphireRuneword		1		weap										gcb	gcb	gcb	gcb	gcb		freeze		5	5	mana-kill		5	5	dmg-cold		16	24	pierce-cold		5	5	dmg%		18	18	swing2		10	10	splash	proc_SplashDamage	100	1	0
ChippedSaphireRuneword		1		weap										gcb	gcb	gcb	gcb	gcb	gcb	freeze		6	6	mana-kill		6	6	dmg-cold		20	28	pierce-cold		6	6	dmg%		20	20	swing2		10	10	splash	proc_SplashDamage	100	1	0
FlawedSaphireRuneword		0		weap										gfb						freeze		2	2	mana-kill		2	2	dmg-cold		5	8	pierce-cold		2	2	dmg%		20	20	swing2		10	10	splash	proc_SplashDamage	100	1	0
FlawedSaphireRuneword		1		weap										gfb	gfb					freeze		4	4	mana-kill		3	3	dmg-cold		10	14	pierce-cold		3	3	dmg%		24	24	swing2		10	10	splash	proc_SplashDamage	100	1	0
FlawedSaphireRuneword		1		weap										gfb	gfb	gfb				freeze		6	6	mana-kill		4	4	dmg-cold		16	20	pierce-cold		4	4	dmg%		28	28	swing2		10	10	splash	proc_SplashDamage	100	1	0
FlawedSaphireRuneword		1		weap										gfb	gfb	gfb	gfb			freeze		8	8	mana-kill		5	5	dmg-cold		20	28	pierce-cold		5	5	dmg%		32	32	swing2		10	10	splash	proc_SplashDamage	100	1	0
FlawedSaphireRuneword		1		weap										gfb	gfb	gfb	gfb	gfb		freeze		10	10	mana-kill		6	6	dmg-cold		26	34	pierce-cold		6	6	dmg%		36	36	swing2		10	10	splash	proc_SplashDamage	100	1	0
FlawedSaphireRuneword		1		weap										gfb	gfb	gfb	gfb	gfb	gfb	freeze		12	12	mana-kill		7	7	dmg-cold		32	40	pierce-cold		7	7	dmg%		40	40	swing2		10	10	splash	proc_SplashDamage	100	1	0
NormalSaphireRuneword		0		weap										gsb						freeze		3	3	mana-kill		3	3	dmg-cold		6	10	pierce-cold		3	3	dmg%		30	30	swing2		10	10	splash	proc_SplashDamage	100	1	0
NormalSaphireRuneword		1		weap										gsb	gsb					freeze		6	6	mana-kill		4	4	dmg-cold		12	20	pierce-cold		4	4	dmg%		36	36	swing2		10	10	splash	proc_SplashDamage	100	1	0
NormalSaphireRuneword		1		weap										gsb	gsb	gsb				freeze		9	9	mana-kill		5	5	dmg-cold		20	28	pierce-cold		5	5	dmg%		42	42	swing2		10	10	splash	proc_SplashDamage	100	1	0
NormalSaphireRuneword		1		weap										gsb	gsb	gsb	gsb			freeze		12	12	mana-kill		6	6	dmg-cold		28	36	pierce-cold		6	6	dmg%		48	48	swing2		10	10	splash	proc_SplashDamage	100	1	0
NormalSaphireRuneword		1		weap										gsb	gsb	gsb	gsb	gsb		freeze		15	15	mana-kill		7	7	dmg-cold		32	48	pierce-cold		7	7	dmg%		54	54	swing2		10	10	splash	proc_SplashDamage	100	1	0
NormalSaphireRuneword		1		weap										gsb	gsb	gsb	gsb	gsb	gsb	freeze		18	18	mana-kill		8	8	dmg-cold		40	56	pierce-cold		8	8	dmg%		60	60	swing2		10	10	splash	proc_SplashDamage	100	1	0
FlawlessSaphireRuneword		0		weap										glb						freeze		4	4	mana-kill		4	4	dmg-cold		8	12	pierce-cold		4	4	dmg%		40	40	swing2		10	10	splash	proc_SplashDamage	100	1	0
FlawlessSaphireRuneword		1		weap										glb	glb					freeze		8	8	mana-kill		5	5	dmg-cold		16	24	pierce-cold		5	5	dmg%		48	48	swing2		10	10	splash	proc_SplashDamage	100	1	0
FlawlessSaphireRuneword		1		weap										glb	glb	glb				freeze		12	12	mana-kill		6	6	dmg-cold		24	36	pierce-cold		6	6	dmg%		56	56	swing2		10	10	splash	proc_SplashDamage	100	1	0
FlawlessSaphireRuneword		1		weap										glb	glb	glb	glb			freeze		16	16	mana-kill		7	7	dmg-cold		36	44	pierce-cold		7	7	dmg%		64	64	swing2		10	10	splash	proc_SplashDamage	100	1	0
FlawlessSaphireRuneword		1		weap										glb	glb	glb	glb	glb		freeze		20	20	mana-kill		8	8	dmg-cold		42	58	pierce-cold		8	8	dmg%		72	72	swing2		10	10	splash	proc_SplashDamage	100	1	0
FlawlessSaphireRuneword		1		weap										glb	glb	glb	glb	glb	glb	freeze		24	24	mana-kill		9	9	dmg-cold		52	68	pierce-cold		9	9	dmg%		80	80	swing2		10	10	splash	proc_SplashDamage	100	1	0
PerfectSaphireRuneword		0		weap										gpb						freeze		5	5	mana-kill		5	5	dmg-cold		10	14	pierce-cold		5	5	dmg%		50	50	swing2		10	10	splash	proc_SplashDamage	100	1	0
PerfectSaphireRuneword		1		weap										gpb	gpb					freeze		10	10	mana-kill		6	6	dmg-cold		20	28	pierce-cold		6	6	dmg%		60	60	swing2		10	10	splash	proc_SplashDamage	100	1	0
PerfectSaphireRuneword		1		weap										gpb	gpb	gpb				freeze		15	15	mana-kill		7	7	dmg-cold		30	42	pierce-cold		7	7	dmg%		70	70	swing2		10	10	splash	proc_SplashDamage	100	1	0
PerfectSaphireRuneword		1		weap										gpb	gpb	gpb	gpb			freeze		20	20	mana-kill		8	8	dmg-cold		40	56	pierce-cold		8	8	dmg%		80	80	swing2		10	10	splash	proc_SplashDamage	100	1	0
PerfectSaphireRuneword		1		weap										gpb	gpb	gpb	gpb	gpb		freeze		25	25	mana-kill		9	9	dmg-cold		52	68	pierce-cold		9	9	dmg%		90	90	swing2		10	10	splash	proc_SplashDamage	100	1	0
PerfectSaphireRuneword		1		weap										gpb	gpb	gpb	gpb	gpb	gpb	freeze		30	30	mana-kill		10	10	dmg-cold		64	80	pierce-cold		10	10	dmg%		100	100	swing2		10	10	splash	proc_SplashDamage	100	1	0
ChippedSaphireRuneword		0		glov										gcb						freeze		1	1	mana-kill		1	1	dmg-cold		3	5	light		1	1													0
ChippedSaphireRuneword		1		glov										gcb	gcb					freeze		2	2	mana-kill		1	1	dmg-cold		6	10	light		1	1													0
ChippedSaphireRuneword		1		glov										gcb	gcb	gcb				freeze		3	3	mana-kill		1	1	dmg-cold		10	14	light		2	2													0
ChippedSaphireRuneword		1		glov										gcb	gcb	gcb	gcb			freeze		4	4	mana-kill		1	1	dmg-cold		12	20	light		3	3													0
FlawedSaphireRuneword		0		glov										gfb						freeze		2	2	mana-kill		2	2	dmg-cold		4	8	light		1	1													0
FlawedSaphireRuneword		1		glov										gfb	gfb					freeze		4	4	mana-kill		2	2	dmg-cold		10	14	light		1	1													0
FlawedSaphireRuneword		1		glov										gfb	gfb	gfb				freeze		6	6	mana-kill		2	2	dmg-cold		12	20	light		2	2													0
FlawedSaphireRuneword		1		glov										gfb	gfb	gfb	gfb			freeze		8	8	mana-kill		2	2	dmg-cold		20	28	light		3	3													0
NormalSaphireRuneword		0		glov										gsb						freeze		3	3	mana-kill		2	2	dmg-cold		6	10	light		1	1													0
NormalSaphireRuneword		1		glov										gsb	gsb					freeze		6	6	mana-kill		3	3	dmg-cold		12	20	light		1	1													0
NormalSaphireRuneword		1		glov										gsb	gsb	gsb				freeze		9	9	mana-kill		3	3	dmg-cold		20	28	light		2	2													0
NormalSaphireRuneword		1		glov										gsb	gsb	gsb	gsb			freeze		12	12	mana-kill		3	3	dmg-cold		24	30	light		3	3													0
FlawlessSaphireRuneword		0		glov										glb						freeze		4	4	mana-kill		3	3	dmg-cold		8	12	light		1	1													0
FlawlessSaphireRuneword		1		glov										glb	glb					freeze		8	8	mana-kill		4	4	dmg-cold		16	24	light		1	1													0
FlawlessSaphireRuneword		1		glov										glb	glb	glb				freeze		12	12	mana-kill		4	4	dmg-cold		24	36	light		2	2													0
FlawlessSaphireRuneword		1		glov										glb	glb	glb	glb			freeze		16	16	mana-kill		4	4	dmg-cold		36	44	light		3	3													0
PerfectSaphireRuneword		0		glov										gpb						freeze		5	5	mana-kill		4	4	dmg-cold		10	14	light		1	1													0
PerfectSaphireRuneword		1		glov										gpb	gpb					freeze		10	10	mana-kill		5	5	dmg-cold		20	28	light		1	1													0
PerfectSaphireRuneword		1		glov										gpb	gpb	gpb				freeze		15	15	mana-kill		5	5	dmg-cold		30	40	light		2	2													0
PerfectSaphireRuneword		1		glov										gpb	gpb	gpb	gpb			freeze		20	20	mana-kill		5	5	dmg-cold		40	56	light		3	3													0
ChippedSaphireRunewordArmor		0		tors	cloa									gcb						mana%		1	1	att-demon		3	7	mana-kill		1	1	light		1	1													0
ChippedSaphireRunewordArmor		1		tors	cloa									gcb	gcb					mana%		1	1	att-demon		5	12	mana-kill		2	2	light		1	1													0
ChippedSaphireRunewordArmor		1		tors	cloa									gcb	gcb	gcb				mana%		1	2	att-demon		7	17	mana-kill		3	3	light		2	2													0
ChippedSaphireRunewordArmor		1		tors	cloa									gcb	gcb	gcb	gcb			mana%		2	2	att-demon		9	21	mana-kill		4	4	light		3	3													0
ChippedSaphireRunewordArmor		1		tors	cloa									gcb	gcb	gcb	gcb	gcb		mana%		2	3	att-demon		12	28	mana-kill		5	5	light		4	4													0
ChippedSaphireRunewordArmor		1		tors	cloa									gcb	gcb	gcb	gcb	gcb	gcb	mana%		2	3	att-demon		14	33	mana-kill		6	6	light		5	5													0
FlawedSaphireRunewordArmor		0		tors	cloa									gfb						mana%		2	2	att-demon		5	12	mana-kill		2	2	light		1	1													0
FlawedSaphireRunewordArmor		1		tors	cloa									gfb	gfb					mana%		2	3	att-demon		7	17	mana-kill		3	3	light		1	1													0
FlawedSaphireRunewordArmor		1		tors	cloa									gfb	gfb	gfb				mana%		3	4	att-demon		10	23	mana-kill		4	4	light		2	2													0
FlawedSaphireRunewordArmor		1		tors	cloa									gfb	gfb	gfb	gfb			mana%		3	4	att-demon		13	30	mana-kill		5	5	light		3	3													0
FlawedSaphireRunewordArmor		1		tors	cloa									gfb	gfb	gfb	gfb	gfb		mana%		4	5	att-demon		15	35	mana-kill		6	6	light		4	4													0
FlawedSaphireRunewordArmor		1		tors	cloa									gfb	gfb	gfb	gfb	gfb	gfb	mana%		4	6	att-demon		18	42	mana-kill		7	7	light		5	5													0
NormalSaphireRunewordArmor		0		tors	cloa									gsb						mana%		3	3	att-demon		12	28	mana-kill		3	3	light		1	1													0
NormalSaphireRunewordArmor		1		tors	cloa									gsb	gsb					mana%		4	4	att-demon		16	37	mana-kill		4	4	light		1	1													0
NormalSaphireRunewordArmor		1		tors	cloa									gsb	gsb	gsb				mana%		4	5	att-demon		20	46	mana-kill		5	5	light		2	2													0
NormalSaphireRunewordArmor		1		tors	cloa									gsb	gsb	gsb	gsb			mana%		5	7	att-demon		26	60	mana-kill		6	6	light		3	3													0
NormalSaphireRunewordArmor		1		tors	cloa									gsb	gsb	gsb	gsb	gsb		mana%		5	8	att-demon		30	69	mana-kill		7	7	light		4	4													0
NormalSaphireRunewordArmor		1		tors	cloa									gsb	gsb	gsb	gsb	gsb	gsb	mana%		6	9	att-demon		34	79	mana-kill		8	8	light		5	5													0
FlawlessSaphireRunewordArmor		0		tors	cloa									glb						mana%		4	4	att-demon		35	81	mana-kill		4	4	light		1	1													0
FlawlessSaphireRunewordArmor		1		tors	cloa									glb	glb					mana%		5	6	att-demon		40	92	mana-kill		5	5	light		1	1													0
FlawlessSaphireRunewordArmor		1		tors	cloa									glb	glb	glb				mana%		6	7	att-demon		45	104	mana-kill		6	6	light		2	2													0
FlawlessSaphireRunewordArmor		1		tors	cloa									glb	glb	glb	glb			mana%		6	9	att-demon		50	115	mana-kill		7	7	light		3	3													0
FlawlessSaphireRunewordArmor		1		tors	cloa									glb	glb	glb	glb	glb		mana%		7	10	att-demon		55	127	mana-kill		8	8	light		4	4													0
FlawlessSaphireRunewordArmor		1		tors	cloa									glb	glb	glb	glb	glb	glb	mana%		8	12	att-demon		60	138	mana-kill		9	9	light		5	5													0
PerfectSaphireRunewordArmor		0		tors	cloa									gpb						mana%		5	5	att-demon		50	115	mana-kill		5	5	light		1	1													0
PerfectSaphireRunewordArmor		1		tors	cloa									gpb	gpb					mana%		6	7	att-demon		57	132	mana-kill		6	6	light		1	1													0
